Fecha_filtro,Marea_filtro,,
01/05/2021 20:00,3.3,01/05/2021 0:00,20:00:00
01/05/2021 20:30,3.081,01/05/2021 0:00,20:30:00
01/05/2021 21:00,2.782,01/05/2021 0:00,21:00:00
01/05/2021 21:30,2.422,01/05/2021 0:00,21:30:00
01/05/2021 22:00,2.027,01/05/2021 0:00,22:00:00
01/05/2021 22:30,1.623,01/05/2021 0:00,22:30:00
01/05/2021 23:00,1.234,01/05/2021 0:00,23:00:00
01/05/2021 23:30,0.885,01/05/2021 0:00,23:30:00
02/05/2021 0:00,0.596,02/05/2021 0:00,0:00:00
02/05/2021 0:30,0.382,02/05/2021 0:00,0:30:00
02/05/2021 1:00,0.256,02/05/2021 0:00,1:00:00
02/05/2021 1:30,0.225,02/05/2021 0:00,1:30:00
02/05/2021 2:00,0.29,02/05/2021 0:00,2:00:00
02/05/2021 2:30,0.448,02/05/2021 0:00,2:30:00
02/05/2021 3:00,0.687,02/05/2021 0:00,3:00:00
02/05/2021 3:30,0.992,02/05/2021 0:00,3:30:00
02/05/2021 4:00,1.345,02/05/2021 0:00,4:00:00
02/05/2021 4:30,1.723,02/05/2021 0:00,4:30:00
02/05/2021 5:00,2.103,02/05/2021 0:00,5:00:00
02/05/2021 5:30,2.463,02/05/2021 0:00,5:30:00
02/05/2021 6:00,2.78,02/05/2021 0:00,6:00:00
02/05/2021 6:30,3.035,02/05/2021 0:00,6:30:00
02/05/2021 7:00,3.213,02/05/2021 0:00,7:00:00
02/05/2021 7:30,3.302,02/05/2021 0:00,7:30:00
02/05/2021 8:00,3.3,02/05/2021 0:00,8:00:00
02/05/2021 8:30,3.205,02/05/2021 0:00,8:30:00
02/05/2021 9:00,3.026,02/05/2021 0:00,9:00:00
02/05/2021 9:30,2.776,02/05/2021 0:00,9:30:00
02/05/2021 10:00,2.472,02/05/2021 0:00,10:00:00
02/05/2021 10:30,2.135,02/05/2021 0:00,10:30:00
02/05/2021 11:00,1.787,02/05/2021 0:00,11:00:00
02/05/2021 11:30,1.452,02/05/2021 0:00,11:30:00
02/05/2021 12:00,1.15,02/05/2021 0:00,12:00:00
02/05/2021 12:30,0.899,02/05/2021 0:00,12:30:00
02/05/2021 13:00,0.715,02/05/2021 0:00,13:00:00
02/05/2021 13:30,0.609,02/05/2021 0:00,13:30:00
02/05/2021 14:00,0.588,02/05/2021 0:00,14:00:00
02/05/2021 14:30,0.652,02/05/2021 0:00,14:30:00
02/05/2021 15:00,0.795,02/05/2021 0:00,15:00:00
02/05/2021 15:30,1.009,02/05/2021 0:00,15:30:00
02/05/2021 16:00,1.279,02/05/2021 0:00,16:00:00
02/05/2021 16:30,1.589,02/05/2021 0:00,16:30:00
02/05/2021 17:00,1.92,02/05/2021 0:00,17:00:00
02/05/2021 17:30,2.249,02/05/2021 0:00,17:30:00
02/05/2021 18:00,2.557,02/05/2021 0:00,18:00:00
02/05/2021 18:30,2.822,02/05/2021 0:00,18:30:00
02/05/2021 19:00,3.027,02/05/2021 0:00,19:00:00
02/05/2021 19:30,3.159,02/05/2021 0:00,19:30:00
02/05/2021 20:00,3.209,02/05/2021 0:00,20:00:00
02/05/2021 20:30,3.173,02/05/2021 0:00,20:30:00
02/05/2021 21:00,3.053,02/05/2021 0:00,21:00:00
02/05/2021 21:30,2.855,02/05/2021 0:00,21:30:00
02/05/2021 22:00,2.593,02/05/2021 0:00,22:00:00
02/05/2021 22:30,2.283,02/05/2021 0:00,22:30:00
02/05/2021 23:00,1.945,02/05/2021 0:00,23:00:00
02/05/2021 23:30,1.603,02/05/2021 0:00,23:30:00
03/05/2021 0:00,1.277,03/05/2021 0:00,0:00:00
03/05/2021 0:30,0.985,03/05/2021 0:00,0:30:00
03/05/2021 1:00,0.746,03/05/2021 0:00,1:00:00
03/05/2021 1:30,0.572,03/05/2021 0:00,1:30:00
03/05/2021 2:00,0.473,03/05/2021 0:00,2:00:00
03/05/2021 2:30,0.454,03/05/2021 0:00,2:30:00
03/05/2021 3:00,0.519,03/05/2021 0:00,3:00:00
03/05/2021 3:30,0.661,03/05/2021 0:00,3:30:00
03/05/2021 4:00,0.872,03/05/2021 0:00,4:00:00
03/05/2021 4:30,1.138,03/05/2021 0:00,4:30:00
03/05/2021 5:00,1.442,03/05/2021 0:00,5:00:00
03/05/2021 5:30,1.768,03/05/2021 0:00,5:30:00
03/05/2021 6:00,2.095,03/05/2021 0:00,6:00:00
03/05/2021 6:30,2.403,03/05/2021 0:00,6:30:00
03/05/2021 7:00,2.675,03/05/2021 0:00,7:00:00
03/05/2021 7:30,2.893,03/05/2021 0:00,7:30:00
03/05/2021 8:00,3.045,03/05/2021 0:00,8:00:00
03/05/2021 8:30,3.121,03/05/2021 0:00,8:30:00
03/05/2021 9:00,3.119,03/05/2021 0:00,9:00:00
03/05/2021 9:30,3.039,03/05/2021 0:00,9:30:00
03/05/2021 10:00,2.887,03/05/2021 0:00,10:00:00
03/05/2021 10:30,2.674,03/05/2021 0:00,10:30:00
03/05/2021 11:00,2.415,03/05/2021 0:00,11:00:00
03/05/2021 11:30,2.127,03/05/2021 0:00,11:30:00
03/05/2021 12:00,1.829,03/05/2021 0:00,12:00:00
