Fecha_filtro	Marea_filtro
30/04/2021 21:20:00	1.886
30/04/2021 21:30:00	1.733
30/04/2021 21:40:00	1.581
30/04/2021 21:50:00	1.431
30/04/2021 22:00:00	1.285
30/04/2021 22:10:00	1.142
30/04/2021 22:20:00	1.005
30/04/2021 22:30:00	0.874
30/04/2021 22:40:00	0.75
30/04/2021 22:50:00	0.634
30/04/2021 23:00:00	0.527
30/04/2021 23:10:00	0.428
30/04/2021 23:20:00	0.34
30/04/2021 23:30:00	0.261
30/04/2021 23:40:00	0.194
30/04/2021 23:50:00	0.138
01/05/2021 00:00:00	0.093
01/05/2021 00:10:00	0.06
01/05/2021 00:20:00	0.039
01/05/2021 00:30:00	0.03
01/05/2021 00:40:00	0.034
01/05/2021 00:50:00	0.049
01/05/2021 01:00:00	0.077
01/05/2021 01:10:00	0.116
01/05/2021 01:20:00	0.167
01/05/2021 01:30:00	0.23
01/05/2021 01:40:00	0.303
01/05/2021 01:50:00	0.386
01/05/2021 02:00:00	0.479
01/05/2021 02:10:00	0.581
01/05/2021 02:20:00	0.691
01/05/2021 02:30:00	0.809
01/05/2021 02:40:00	0.933
01/05/2021 02:50:00	1.063
01/05/2021 03:00:00	1.198
01/05/2021 03:10:00	1.337
01/05/2021 03:20:00	1.478
01/05/2021 03:30:00	1.622
01/05/2021 03:40:00	1.766
01/05/2021 03:50:00	1.911
01/05/2021 04:00:00	2.054
01/05/2021 04:10:00	2.195
01/05/2021 04:20:00	2.333
01/05/2021 04:30:00	2.468
01/05/2021 04:40:00	2.597
01/05/2021 04:50:00	2.721
01/05/2021 05:00:00	2.837
01/05/2021 05:10:00	2.947
01/05/2021 05:20:00	3.048
01/05/2021 05:30:00	3.141
01/05/2021 05:40:00	3.224
01/05/2021 05:50:00	3.296
01/05/2021 06:00:00	3.359
01/05/2021 06:10:00	3.41
01/05/2021 06:20:00	3.45
01/05/2021 06:30:00	3.478
01/05/2021 06:40:00	3.495
01/05/2021 06:50:00	3.5
01/05/2021 07:00:00	3.493
01/05/2021 07:10:00	3.474
01/05/2021 07:20:00	3.443
01/05/2021 07:30:00	3.401
01/05/2021 07:40:00	3.349
01/05/2021 07:50:00	3.285
01/05/2021 08:00:00	3.211
01/05/2021 08:10:00	3.128
01/05/2021 08:20:00	3.036
01/05/2021 08:30:00	2.936
01/05/2021 08:40:00	2.828
01/05/2021 08:50:00	2.714
01/05/2021 09:00:00	2.594
01/05/2021 09:10:00	2.47
01/05/2021 09:20:00	2.341
01/05/2021 09:30:00	2.211
01/05/2021 09:40:00	2.078
01/05/2021 09:50:00	1.945
01/05/2021 10:00:00	1.812
01/05/2021 10:10:00	1.68
01/05/2021 10:20:00	1.55
01/05/2021 10:30:00	1.423
01/05/2021 10:40:00	1.301
01/05/2021 10:50:00	1.183
