"Presion","Profundidad","Temperatura","Conductividad","Conductancia","Salinidad","Vel_Sonido","Densidad","Latitud","Longitud","Fecha","Hora","Estacion","Marea","Transecto","No.Estacion"
"52",15.45,15.56174654,27.51907254,44483.70659,42350.04965,27.19395913,1532.278166,1016.757842,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"53",15.62013753,15.73283784,27.5201683,44470.10156,42336.21388,27.18401912,1532.273081,1016.750786,2.67,-78.32,"29/04/2021","10:25","S06","Baja","Sanquianga","6"
"54",0.15,0.151256055,27.61649322,39207.8863,37258.17126,23.58852226,1528.450719,1013.961649,2.7028116,-78.3190821,"29/04/2021","11:14","S05","Baja","Sanquianga","5"
"55",0.45,0.453695025,27.51679843,39974.30693,38058.59089,24.1513617,1528.816923,1014.414989,2.7028116,-78.3190821,"29/04/2021","11:14","S05","Baja","Sanquianga","5"
"56",0.75,0.756016027,27.42849103,40547.07418,38668.93114,24.58167374,1529.070213,1014.765746,2.7028116,-78.3190821,"29/04/2021","11:14","S05","Baja","Sanquianga","5"
"57",1.05,1.058271918,27.40340499,40681.64006,38815.83655,24.6853471,1529.126249,1014.852436,2.7028116,-78.3190821,"29/04/2021","11:14","S05","Baja","Sanquianga","5"
"58",1.35,1.360477228,27.38351255,41153.23847,39280.71684,25.01384338,1529.431146,1015.105867,2.7028116,-78.3190821,"29/04/2021","11:14","S05","Baja","Sanquianga","5"
"59",1.65,1.662615854,27.3915726,41547.45096,39650.89125,25.27578354,1529.730815,1015.300829,2.7028116,-78.3190821,"29/04/2021","11:14","S05","Baja","Sanquianga","5"
"60",1.95,1.964655938,27.39670542,42474.97349,40532.10326,25.90092653,1530.406355,1015.768776,2.7028116,-78.3190821,"29/04/2021","11:14","S05","Baja","Sanquianga","5"
"61",2.25,2.266600703,27.39782935,42815.45596,40856.13516,26.13127652,1530.65673,1015.942295,2.7028116,-78.3190821,"29/04/2021","11:14","S05","Baja","Sanquianga","5"
"62",2.55,2.56846405,27.40523733,43559.68244,41560.42856,26.63298656,1531.207602,1016.317208,2.7028116,-78.3190821,"29/04/2021","11:14","S05","Baja","Sanquianga","5"
"63",2.85,2.870235149,27.41612171,44056.21868,42025.44679,26.96493828,1531.58761,1016.563879,2.7028116,-78.3190821,"29/04/2021","11:14","S05","Baja","Sanquianga","5"
"64",3.15,3.171918472,27.42313718,44738.89862,42670.94744,27.4267081,1532.095561,1016.909102,2.7028116,-78.3190821,"29/04/2021","11:14","S05","Baja","Sanquianga","5"
"65",3.45,3.473522867,27.4327203,45115.95871,43022.71412,27.67877621,1532.388379,1017.096366,2.7028116,-78.3190821,"29/04/2021","11:14","S05","Baja","Sanquianga","5"
"66",3.75,3.775026233,27.44971922,46102.00627,43948.76365,28.34404341,1533.133872,1017.591158,2.7028116,-78.3190821,"29/04/2021","11:14","S05","Baja","Sanquianga","5"
"67",4.05,4.076428778,27.46581284,46485.1655,44300.43392,28.59722161,1533.442758,1017.777267,2.7028116,-78.3190821,"29/04/2021","11:14","S05","Baja","Sanquianga","5"
"68",4.35,4.377781572,27.48124713,46797.59621,44585.06492,28.80235902,1533.699437,1017.927561,2.7028116,-78.3190821,"29/04/2021","11:14","S05","Baja","Sanquianga","5"
"69",4.65,4.679108275,27.48564657,46852.92685,44634.03798,28.83761301,1533.751728,1017.953913,2.7028116,-78.3190821,"29/04/2021","11:14","S05","Baja","Sanquianga","5"
"70",4.95,4.980429403,27.49192486,46882.67026,44657.03095,28.8541258,1533.788545,1017.965615,2.7028116,-78.3190821,"29/04/2021","11:14","S05","Baja","Sanquianga","5"
"71",5.25,5.281749482,27.48942268,46868.29568,44645.46692,28.845707,1533.779011,1017.961386,2.7028116,-78.3190821,"29/04/2021","11:14","S05","Baja","Sanquianga","5"
"72",5.55,5.583065009,27.49556348,46943.74751,44712.10937,28.89371956,1533.848728,1017.996758,2.7028116,-78.3190821,"29/04/2021","11:14","S05","Baja","Sanquianga","5"
"73",5.85,5.884374588,27.49495684,46950.53727,44719.09312,28.89868424,1533.857638,1018.00197,2.7028116,-78.3190821,"29/04/2021","11:14","S05","Baja","Sanquianga","5"
"74",6.15,6.18568311,27.49360149,46950.59248,44720.30033,28.89948015,1533.860442,1018.004291,2.7028116,-78.3190821,"29/04/2021","11:14","S05","Baja","Sanquianga","5"
"75",6.45,6.486991169,27.49233733,46948.59579,44719.47543,28.89880944,1533.861908,1018.005484,2.7028116,-78.3190821,"29/04/2021","11:14","S05","Baja","Sanquianga","5"
