"PC01","PC02","PC03","PC04","PC05","PC06","PC07","PC08","PC09","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20"
"G01B",-2.98377804167239,-2.93564465108231,-0.319832461094099,0.220246676466063,-0.62394341845259,-1.1670745886877,0.39961250806095,0.243225407976489,-0.898624945323919,-0.0115442660012024,0.537774271014748,-0.085143336844462,0.379084753006256,0.00323168021182779,0.24172863868611,-0.0485195389834033,0.225259876033803,-0.0400062479728739,-0.00613836479211047,0.00375225362637821
"G02A",-0.988740595900645,1.91437594363646,-1.83339728273676,3.70390662604912,-3.13248437911603,0.53970418574764,-1.36247602737692,-0.957542210574321,0.261609850810502,-0.822889405491271,0.316215634887543,0.0197634183694729,0.121611802428758,0.149480822574144,0.0586125031807769,-0.0623203089357253,0.021664336503527,0.0202679275421771,0.00198182154455279,-5.28999616197789e-05
"G02B",-1.04816757238448,-2.04919617434964,-0.431583185807388,-0.793211983086067,-0.53622114766294,-1.7135562238405,-0.213862619110451,0.0730556748424322,-0.779811690139962,-0.107757043456249,0.711695097063947,-0.138298672064792,0.0927472513793431,0.118637628967784,-0.0631682824834356,-0.0274667527779724,-0.262373689066246,-0.0326997295573717,-0.0247530107030845,-0.00428024313085895
"G03A",-2.58915706261245,0.473769341046276,-0.357084573612143,-0.597662110035413,-0.224971497388732,0.065748179229658,-0.360899643395075,-0.376824450055442,0.474214784047396,1.22519517112195,-0.141533773168721,0.179649700611073,-0.0674898865168777,0.168902108244397,0.504038141997775,-0.048697866736431,-0.122408616323662,-0.00607926157502441,0.0014390252332539,0.00260439064692886
"G03B",0.270487466219746,0.0602025607487382,0.18907012313325,-1.1144631235907,-0.223169963169753,-1.66552227186015,-0.170433207226871,-0.464825434680234,0.0482029276337683,0.552679358793788,0.448266419113402,-0.00892982728823274,-0.42499190601518,0.186167353873723,-0.0435852896281015,0.0977345672943706,-0.105375176804084,0.0258676508619901,0.00424591420664705,-0.00178689498251269
"G04A",-0.267964448192425,1.78795362812561,0.875975393836838,1.55934045789999,0.335891037927299,-0.306622284693454,1.39330379242065,-0.271023585430441,-0.130797775555667,-0.313555093401191,-0.354165678387451,-0.209103408114368,0.102129914293494,-0.0699176504428412,-0.114738029254527,-0.0204675144837825,-0.0436152427375745,-0.00195717928117955,0.00454629442205441,-0.00193231225908899
"G04B",5.30964387987954,0.347530114362802,-3.26117481791705,0.447562847580321,0.220604113380225,-0.867480356960342,0.368808458195237,0.776440509948278,0.0948609587638475,0.305798667108674,-0.40000557571915,-0.258310206560317,0.152801975209866,-0.0465220415116479,-0.178271162392439,0.0161298256440255,0.120550077279624,-0.00667379861425066,-0.000841109637272047,0.00115707297708093
"G05A",0.775814962355432,1.7637615800219,0.973710879941376,0.675701286579848,0.0936615481509374,-0.675247447042191,1.26572207938088,-0.629989592338132,-0.0887806154955871,-0.0973955443215386,-0.254445011130622,0.186555707914512,-0.059634978246273,0.114319388379658,0.0181972071286137,0.457516376253579,0.171569560078209,0.0109597071426457,-0.0117104503169383,-0.00213745239125573
"G05B",5.26612045490956,-0.0211662639908852,-3.01249061496645,-0.202266652909849,0.459153512001135,-0.398571982335036,0.332103964498807,0.26409498450259,-0.208168429641294,-0.015572635900382,-0.26504427772264,0.0989392678518748,-0.0353795593038951,0.237552636833333,0.0148616235470882,-0.147297024830022,0.0481015228516946,-0.0215132656090355,0.00939667532972434,0.00133403030789492
"G06A",1.23271808129497,0.00459815076307779,0.168521505056222,-1.9881332861567,-0.132255158331759,0.216180860473182,2.03221382993393,-1.51063986082287,-0.398015905659202,-1.21407890508056,0.169040139283549,-0.296626303787882,-0.0360668796078948,0.293906226314337,-0.0289178022463092,-0.153142289004615,-0.0367405071441318,0.0127676633363101,0.0100135302481937,0.00174688747182172
