"PC01","PC02","PC03","PC04","PC05","PC06","PC07","PC08","PC09","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27"
"G03A",-3.45889195043573,-0.055226748189156,0.496202075601913,-0.315831178820351,-0.262425974632537,-0.657597180032912,-0.23758245820072,-0.0195792666381428,-0.66183636465544,-0.406056880092813,0.0510640686195801,-0.424027568946227,-0.333958841009707,0.483790021114931,0.2819503879534,0.176264123159962,0.0763511331964159,-0.0928891872199419,0.115419692120612,0.0591433614020632,0.0051784104078088,0.0115615843782632,0.0090805796134239,-0.00941310028165201,-0.00246401788209716,-0.000652242948578199,0.000113635225973626
"G03B",-0.163587012095391,-1.52739072768674,0.383262039810465,1.40997715100313,-0.928277417213607,0.311323032787134,0.448785802233689,-0.239754040639743,-0.404321309604837,0.065753330914415,-0.292828343091671,0.532721389939189,-0.468866040992555,0.152428023768106,0.0904122674486854,-0.0398347220083301,0.23929923440664,-0.0529836470340179,-0.00350558598123269,-0.00800743074621718,-0.0303107109370879,0.0215573650414228,-0.00598269684661495,0.00936444631743692,0.00138024922065011,-0.00131153440198413,-5.73916661564854e-05
"G04A",-0.738669870203495,2.76762811010011,2.70696541351959,0.779052485500485,0.298943821486824,-0.046773336705222,0.140246295067053,0.102859728069473,0.421139811431988,0.842572253569473,0.103463573563138,-0.284473890173157,0.277954229917788,-0.0695869458000183,-0.00390970938981435,0.0444886001820598,0.242656908859462,-0.204761548266833,-0.0761412983618499,0.0250371227680094,-0.0242773920926,0.0163353183871752,-0.0153541457032935,-0.000552520623295583,0.00283957604818497,0.000936629075398959,0.000119257433885072
"G04B",8.13760652710792,-0.735001991236617,2.60988822525927,-3.64333825479426,-0.923182361307771,2.09572101119329,0.922397023007069,-0.00860987649742759,-0.349757581288607,-0.524730089618632,-0.23154704653141,-0.0833962710494243,-0.163406037029049,-0.0252023303275023,-0.141720433003272,-0.0842168991570461,-0.141845852704367,-0.0932121649557831,-0.0581495068837696,-0.00260338549942762,-0.028854825869406,-0.0131157772896758,0.00266934451079637,-0.00035475786850675,-0.000109525075620009,0.000527520606874887,1.03684687362462e-05
"G05A",0.462338238541961,2.5970601344153,1.64654440536716,1.02427917988429,-0.150750363208219,0.140416455423946,0.661163024199478,-0.0540936843623375,0.501781372215778,0.531727252183908,0.301294195457588,-0.0833198317101232,-0.383273815626702,-0.0553353707553199,-0.267785494420758,-0.0100545848777401,-0.0800779942547456,0.03529211402481,-0.0621705951413464,-0.0678523850602339,0.0215679990097382,0.0110691653332351,0.0124859434429003,0.00638713126468945,-0.00393485153637779,0.00024749713146599,0.000146173163056527
"G05B",6.81032756448832,-4.05505512217367,1.40808979484456,1.16690403686264,0.948565943167979,-0.48862038814288,-1.31353476850042,1.24059822954082,0.310538043257901,-0.511975719898107,0.535172564313707,-0.108003271628973,0.0704321176008991,-0.0737588903885022,-0.0043252039538112,0.0245805419601148,0.242450603250739,0.057801679314411,-0.0527612579599619,-0.0968568644597889,-0.00605770484681787,-0.0271128439763729,-0.000680599264153731,-0.00254368841350877,0.00066507474095745,-2.98852268485195e-05,-2.96109684782908e-05
"G06A",1.67334556321537,1.44144600211937,1.43595229465147,1.52121799644011,-0.20340764483421,-0.354404463672169,0.423319005840702,-0.695416352634037,0.255931361745409,0.662805525908229,0.480531580194072,-0.0210331373327077,-0.387609845422137,-0.188209375462142,-0.265306308754703,0.195863589988884,-0.0584313832173822,-0.0087732366310696,0.0746681168837982,0.0781255577277857,-0.0249242461629891,-0.0251166728943123,0.00935165834152631,-0.0055008641261958,0.000369529938859303,-0.000552047246980374,-0.000207049127202971
"G06B",9.44239186302838,-4.34564977721526,2.22815318716628,-0.647016025741242,-0.221814501599979,-0.121847017555362,-0.75030471038925,-0.799683587995372,0.391395626466667,0.416314517632555,0.138879217741306,-0.0712941474659915,0.0845923710605099,0.102716486565938,0.154177737734606,0.149723629749738,-0.0382866744473524,0.153494437190499,0.10911447634126,0.0538607541521678,0.0287095784376084,0.028265563984518,-0.00102346921563545,0.00123741029573587,2.20584424832637e-05,-0.000538118280647648,3.73615581004431e-05
"S01A",-4.84245341015637,-2.20311981006899,-0.312681182453551,-1.55531834576289,0.175689630757716,-0.690567558116699,-0.753056622522413,-0.523585258024001,0.469195149705239,0.658177198886971,0.0632603536308075,0.178914808420647,-0.282344220523177,0.0904094075063601,-0.0232104213914393,-0.34487266690488,-0.130821270628291,-0.00716050040981431,0.0495265871357218,-0.00943004386028662,0.0601459781639447,-0.00385213739707468,-0.0129786001441806,-0.00588157322594518,-0.0046191151149706,0.00122025262797995,3.7886537101843e-06
"S01B",-4.45365425187193,-1.13624146152969,-0.245466289936777,-1.1242726903516,0.192172649867389,-0.52445818575571,0.053499420135401,-0.0598646937041924,0.735011233277723,-0.855411451212263,-0.458636093916279,0.0802016466372743,0.258250019414078,-0.0868102121914009,-0.16040357955333,0.288046712285955,0.18079644806681,-0.163276682049513,-0.0122061088253605,-0.00367615761604767,0.000306548142185321,-0.00137829218353547,0.00552948634533243,-0.00337072348220252,0.000606174358693257,-0.00044390325470843,4.81105862243894e-05
