Codigo,Temperatura_mean,Salinidad_mean,Densidad_mean,Profundidad_mean,Temperatura_median,Salinidad_median,Densidad_median,Profundidad_median,Temperatura_n,Salinidad_n,Densidad_n,Profundidad_n,Temperatura_sd,Salinidad_sd,Densidad_sd,Profundidad_sd,Temperatura_min,Salinidad_min,Densidad_min,Profundidad_min,Temperatura_max,Salinidad_max,Densidad_max,Profundidad_max
G02A,23.119853822992425,33.83780761352273,1023.153538405303,39.615760573465906,23.030343255,34.507077765,1023.726279,39.63403101,264,264,264,264,3.3328977016279384,1.4172503293393601,2.058636415529993,22.88454248914215,18.17213821,29.29400957,1018.290628,0.150612964,27.9135054,34.940569000000004,1025.490683,78.90464536
G02B,23.785337361867704,33.30000916003891,1022.5295514513618,38.600553753140076,23.98511028,33.95436712,1023.022861,38.63485876,257,257,257,257,4.089470976204906,1.8321411567810322,2.5401105385976677,22.297404759671775,17.55783081,26.93552615,1016.306628,0.150900853,28.14943808,35.10433916,1025.795578,77.03986848
G03A,24.62936779887755,33.47023711209184,1022.3950191071428,29.43138825222449,23.71894884,34.3136708,1023.3882189999999,29.452251089999997,196,196,196,196,3.0383985507452635,1.2632063934891675,1.8899017940021319,17.017482083584625,19.85378647,29.94318033,1018.80588,0.150536813,27.88198925,34.83909093,1024.926467,58.58892531
G03B,25.56394573942105,33.02688531842105,1021.7876062,28.54798637851579,26.845677090000002,32.645828955,1021.0421510000001,28.566241845,190,190,190,190,2.359520814536399,1.7956043003838957,1.9861333316566714,16.50787266937092,21.29085202,23.94682539,1014.146613,0.151226851,27.91899358,34.54814672,1024.214986,57.03710489
G04A,27.878290516666667,31.688455718333334,1019.9635887083333,3.6054874148750002,27.92933687,32.165058744999996,1020.3075114999999,3.609977766,24,24,24,24,0.12132787623250608,1.2522022858661546,0.9066855762975594,2.1187167172905657,27.44581867,27.39533525,1016.865487,0.150824317,27.93621159,32.1744727,1020.318929,6.963004477
G04B,27.325763993571428,18.840909880714285,1010.510106,2.1234230312142857,27.32379219,18.855091,1010.5208485,2.125270422,14,14,14,14,0.014550942391961825,0.3405315783450229,0.263960828305432,1.266995407636411,27.30928065,18.33993022,1010.11841,0.151830705,27.35534596,19.31284971,1010.874973,4.074261538
G05A,27.861355195217392,31.401602864347826,1019.7530782608695,3.457665287782609,27.88634726,31.79529277,1020.040512,3.460536543,23,23,23,23,0.084664193924041245,1.0867800290655591,0.7947805157351338,2.0354846307391488,27.53343034,27.06310456,1016.589018,0.150865005,27.92489417,32.05734664,1020.238784,6.70973011
G05B,27.252498795,22.842179290833332,1013.5242538333333,1.8102892863333333,27.249728509999997,21.247492389999998,1012.373095,1.820425986,12,12,12,12,0.1681512655555588,4.111813370873411,3.0398152701040577,1.0776461059223041,27.0650753,18.33903921,1010.134131,0.151828553,27.51981544,28.69387945,1017.845561,3.379403653
G06A,27.76098986576923,30.517083398076924,1019.1234601538462,3.9159216946538464,27.826071235,31.322555925000003,1019.7103835,3.9151900445,26,26,26,26,0.129319076852542,1.672355960751918,1.2216703258508819,2.303497158200915,27.32078953,24.71290138,1014.894715,0.151116963,27.85519514,31.42992575,1019.78813,7.707851996
G06B,26.94547147,18.550561922,1010.4086143333333,2.270391569,26.91604623,19.07934947,1010.817655,2.28046092,15,15,15,15,0.09986067685789825,3.0953210167613565,2.3018326848459827,1.342401646989941,26.81269568,12.20279309,1005.632983,0.152508286,27.13712209,23.10340763,1013.763912,4.265471871
