Codigo,BioVol_500,PeH_500,PeS_500,PeAFW_500,BioVol_300,PeH_300,PeS_300,PeAFW_300,Act.sp,Act.sen,Ale.sp,Ast.fla,Ast.sp,Aul.kit,Aul.arch,Bac.pax,Bac.del,Bac.fur,Bac.hya,Cer.bic,Cer.den,Cer.pel,Cer.horr,Cha.lac,Cha.aff,Cha.bre,Cha.com,Cha.cur,Cha.dan,Cha.deb,Cha.den,Cha.div,Cha.lor,Cha.par,Cha.per,Cha.pro,Cha.pse,Cha.rad,Cha.sp,Cha.coa,Cha.sub,Cli.fra,Cos.jon,Cos.sp,Cos.ast,Cos.cen,Cos.gig,Cos.gra,Cos.mar,Cos.per,Cos.rad,Cos.sp1,Cos.sp2,Cos.sp3,Cos.wai,Cyc.str,Din.cau,Dip.gru,Dit.bri,Ento.sp,Euc.zod,Gon.sp,Gon.pol,Gui.del,Gui.fla,Gui.str,Gyr.spi,Gyr.spi,Hem.mem,Hem.sin,Hob.lon,Lep.dan,Lio.elo,Lio.pac,Lit.und,Lyr.sp,Mel.sp,Meu.mem,Nav.sp,Neo.rob,Neo.pela,Nit.sp,Nit.clos,Nit.sform,Nit.smoi,Odo.aur,Odo.sp,Orn.thu,Orn.sp,Orn.ste,Pha.sp,Pha.mit,Pha.sp1,Pha.sp2,Pha.rap,Pla.sp,Plan.mur,Pod.bip,Pro.ala,Pro.cor,Pro.lim,Pro.mex,Pro.rha,Pro.sp,Pro.com,Pro.sp1,Pro.sp2,Pro.sp3,Pro.sp4,Pro.sp5,Pro.pyf,Pro.pyrum,Pro.sp6,Pro.sp7,Pro.sp8,Pro.sp9,Pse.sp,Pse.cal,Py.sp,Py.bah,Pyrph.sp,Rhi.ber,Rhi.hab,Rhi.imb,Rhi.set,Scri.sp,Ske.tro,Ske.cos,Ske.pse,Ste.sp,Ste.tu,Stre.tam,Surr.sp,Syn.sp,Thal.nips,Thal.sp,Thal.fra,Thalasi.sp,Trie.chi,Trie.mob,Trip.kar,Trip.ari,Trip.bre,Trip.vul,Trip.dec,Trip.fus,Trip.mac,Trip.mas,Trip.mue,Trip.pen,Tripo.sp,Trip.ter,Trip.can,Trip.eug,Trip.ext,Trip.lun,Trip.tri
G05A,447.68,29.55,4.25,3.74,831.83,638.18,42.23,38.93,0,0,0,0,25,0,0,0,0,25,150,0,0,125,25,0,300,0,0,0,175,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,25,0,0,0,0,0,0,0,0,50,0,50,0,0,25,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,1625,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,25,0,25,0,0,25,75,0,0,0,0,50,0,0
G05B,30.42,6.49,2.49,1.34,127.95,85.45,8.41,7.55,0,0,0,0,0,0,0,0,0,0,25,0,0,50,0,0,50,0,0,0,75,0,0,150,50,0,0,0,0,0,150,0,0,0,25,0,0,0,25,125,0,25,0,0,25,75,0,0,200,0,25,0,0,0,0,0,0,0,0,50,0,0,0,0,0,25,375,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,25,0,0,25,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,300,1075,0,0,0,0,0,0,375,0,75,0,125,300,0,0,0,0,0,0,0,0,75,0,0,0,0,75,100,0,0
G06A,75.91,47.53,4.63,4.28,1410.58,1191.90,75.10,68.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,75,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0
G06B,29.87,0.51,0.42,0.39,66.03,30.13,5.55,4.94,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,100,0,0,0,125,400,0,0,0,0,0,0,0,0,0,50,0,25,50,300,275,0,0,0,0,0,0,75,0,0,0,25,0,0,0,0,0,50,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,500,0,0,0,0,0,0,0,0,125,0,100,50,25,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0
S01A,101.44,55.79,6.56,4.70,401.68,389.55,2.88,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,175,0,0,0,50,0,0,0,0,0,0,25,0,0,0,175,50,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,50,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1750,0,0,0,0,0,0,50,0,0,0,50,0,0,0,100,0,0,0,0,0,0,0,25,0,0,0,0,0,0
S01B,644.00,580.96,13.62,9.94,1174.70,959.22,57.46,50.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,75,0,0,100,75,0,0,0,0,0,0,0,0,0,0,0,25,0,325,100,0,0,25,0,50,0,50,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S02A,141.12,150.56,9.17,7.25,642.98,474.17,29.13,24.43,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,25,0,0,0,0,0,0,75,50,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2600,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,75,0,75,0,0,0,0,0,0
S02B,61.48,49.83,4.53,3.86,1019.51,784.05,51.38,47.84,0,0,75,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,75,0,0,0,0,25,0,0,0,50,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,25,0,0,0,0,0,0,0,1125,200,0,0,0,0,0,75,25,50,0,50,0,0,0,0,0,0,0,0,25,75,0,0,0,0,0,0,0,0
S03A,733.62,371.76,36.52,20.87,988.36,1001.88,83.67,64.07,0,0,0,25,0,0,0,0,50,0,0,0,0,0,25,0,475,150,0,0,25,0,0,450,500,0,0,0,0,0,0,0,0,0,0,0,0,0,200,25,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,200,0,0,0,0,50,0,0,25,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,50,0,0,0,0,0,0,25,0,0,25,0,50,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,5775,0,0,0,0,25,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,25,0,75,25,0,0,0,0,0
S03B,158.43,10.36,4.87,4.52,95.24,497.58,38.76,34.86,0,100,0,0,0,0,0,300,125,0,0,0,125,75,0,0,800,175,0,0,250,0,0,175,125,0,0,0,0,0,0,0,0,0,650,0,0,0,25,75,0,150,0,0,900,50,125,0,0,0,75,25,0,0,0,50,125,0,0,25,0,0,0,0,25,25,25,0,0,0,150,25,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,150,0,0,0,0,0,0,150,0,0,0,8000,0,0,100,0,0,0,275,0,0,25,400,175,0,0,0,0,0,0,25,0,50,0,0,0,0,0,0,0,0
