Codigo,ID,Transecto,No.Estacion,Estacion,latitud,longitud,Fecha,Hora,Marea,NO2,NO3,PO4,SiO2,Clorofila,Conductividad,Salinidad,pH,OD,Transparencia,SST,TSI_Clor,TSI_SECCHI,Sector,Temperatura_mean,Salinidad_mean,Oxigeno_mean,Densidad_mean,Profundidad_mean,Temperatura_median,Salinidad_median,Oxigeno_median,Densidad_median,Profundidad_median,Temperatura_n,Salinidad_n,Oxigeno_n,Densidad_n,Profundidad_n,Temperatura_sd,Salinidad_sd,Oxigeno_sd,Densidad_sd,Profundidad_sd,Temperatura_min,Salinidad_min,Oxigeno_min,Densidad_min,Profundidad_min,Temperatura_max,Salinidad_max,Oxigeno_max,Densidad_max,Profundidad_max,BioVol500,PesoHum500,PesoSec500,PesoSCen500,BioVol300,PesoHum300,PesoSec300,PesoSCen300
G05A,21,Guascama,5,G05,2.653849,-78.400374,01/05/2021,7:09:00,Alta,0.1,0.7,0.23,11.58,0.73,47,30.4,8.16,6.78,0.8,34.95,28,63,Costero,27.781036363636364,30.098627272727274,5.148483333333333,1018.8238363636364,3.5,27.8521,30.4999,5.149900000000001,1019.069,3.5,11,11,11,11,11,0.2961718192965943,2.7271490359314465,0.0593447694971231,1.8982980721018115,1.6583123951777,26.9316,22.1402,5.082,1013.3003,1,27.961,31.6075,5.2538,1019.8895,6,447.6824,29.547,4.253,3.7431,831.8313,638.181,42.2293,38.9297
G05B,22,Guascama,5,G05,2.653849,-78.400374,01/05/2021,13:28:00,Baja,0.33,3.98,0.35,71.3,1.57,32.1,19.3,7.96,6.06,0.8,72,35,63,Costero,27.30175,19.226266666666668,4.391566666666667,1010.8017666666667,2.25,27.26915,18.87605,4.3413,1010.5609,2.25,6,6,6,6,6,0.089607159312189,0.9843394407757242,0.12680640099511267,0.7382686195868386,0.9354143466934853,27.2365,18.2066,4.2976,1010.0279,1,27.4788,20.9487,4.5358,1012.1163,3.5,30.4204,6.4947,2.4945,1.3385,127.9452,85.4514,8.4124,7.5488
G06A,23,Guascama,6,G06,2.621299,-78.400343,01/05/2021,6:42:00,Alta,0.15,1.15,0.42,16.85,0.86,45.5,29.3,8.14,6.62,0.6,53.53,29,67,Costero,27.71565,29.10966923076923,4.124172727272727,1018.0778461538462,4,27.6937,29.4891,3.818,1018.3702,4,13,13,13,13,13,0.17304511497925018,1.8961619614300773,0.7862253075180283,1.3773664712144245,1.9472202409246537,27.4699,25.3984,3.6084,1015.3639,1,28.0073,31.4951,5.8209,1019.7824,7,75.9088,47.5315,4.6304,4.2762,1410.5848,1191.8986,75.1023,68.0038
G06B,24,Guascama,6,G06,2.621299,-78.400343,01/05/2021,12:54:00,Baja,0.37,4.31,0.62,77.47,1.38,30.2,18.5,7.87,5.87,0.6,77,34,67,Costero,26.961057142857143,16.271042857142856,4.33565,1008.702,2.5,26.9536,15.8747,4.3665,1008.4118,2.5,7,7,7,7,7,0.06473458264696078,2.331735536645857,0.2867445959967395,1.7257541163213397,1.0801234497346435,26.891,12.9757,3.9649,1006.2509,1,27.0935,20.5184,4.6447,1011.83,4,29.869,0.5078,0.4182,0.3883,66.0345,30.1282,5.5469,4.9361
S01A,25,Sanquianga,1,S01,2.832936,-78.319656,04/05/2021,9:58:00,Alta,0.05,0.36,0.11,11.4,1.13,48.4,31.4,8.22,7.66,10.5,16.3,32,26,Oceanico,22.352627272727272,33.51865681818182,4.248476023391813,1023.09120625,44.75,20.2242,34.5035,3.8959,1024.4711,44.75,176,176,176,176,176,4.46287267208599,1.6464652580635857,0.91661459920763,2.550065750662818,25.475478405713993,17.1285,26.5318,3.0713,1016.3019,1,27.885,35.1393,5.7142,1025.8211,88.5,101.4374,55.7906,6.5596,4.6999,401.6778,389.5544,2.8848,0
S01B,26,Sanquianga,1,S01,2.832936,-78.319656,04/05/2021,16:03:00,Baja,0.06,0.19,0.09,6.86,0.81,44.7,28.5,8.22,7.05,8.5,18.12,29,29,Oceanico,23.473273863636365,33.29877386363636,4.444955113636364,1022.6300789772728,44.75,22.4459,34.0429,4.206099999999999,1023.2951499999999,44.75,176,176,176,176,176,3.7691420388956063,2.839183859451538,0.7417870593771609,2.929042659780261,25.475478405713993,18.3221,0.3501,3.334,996.9767,1,27.9305,35.147,6.5277,1025.4804,88.5,643.9962,580.9613,13.6159,9.9359,1174.7039,959.224,57.4626,50.3361
S02A,27,Sanquianga,2,S02,2.800405,-78.319592,04/05/2021,9:33:00,Alta,0.07,0.6,0.1,10.95,1.07,47.9,30.8,8.21,7.37,5,19.95,31,37,Oceanico,22.90127837837838,33.431210067114094,4.326357042253521,1022.8710288590604,38,22.46595,34.1183,4.2819,1023.5528,38,149,149,149,149,149,3.8495468381336924,1.7485041704324273,0.7436579401655923,2.4168776934104046,21.578345627040086,18.1,25.476,3.0756,1015.4554,1,27.864,35.1246,5.7919,1025.4836,75,141.1161,150.5567,9.1725,7.2534,642.9818,474.1669,29.1271,24.4333
S02B,28,Sanquianga,2,S02,2.800405,-78.319592,04/05/2021,15:40:00,Baja,0.07,0.36,0.06,10.04,0.84,44.4,28.2,8.17,6.93,6,31.3,29,34,Oceanico,24.914191666666667,32.89403194444444,4.82033795620438,1021.8646444444445,36.75,26.38715,32.71595,4.8889,1021.27025,36.75,144,144,144,144,144,3.3420001517348563,1.7448105094644095,0.6936265008391623,2.210266805645144,20.85665361461421,18.8681,19.4762,3.6215,1010.6995,1,28.3921,35.0313,6.6182,1025.4028,72.5,61.4822,49.8313,4.5343,3.858,1019.506,784.0548,51.3758,47.844
S03A,29,Sanquianga,3,S03,2.767854,-78.319562,30/04/2021,7:05:00,Alta,0.11,0.64,0.19,10.77,0.75,46.7,30,8.19,7.04,2.5,27.15,28,47,Oceanico,24.012878787878787,33.07607575757576,4.67600534351145,1022.2418992424242,33.75,24.48155,33.13035,4.7817,1021.93465,33.75,132,132,132,132,132,3.979607117361492,2.662574916098193,0.9273389712433161,2.824265932202727,19.12459149890528,17.8308,7.195,2.8203,1002.5278,1,28.165,35.569,5.8524,1025.9971,66.5,733.6215,371.7627,36.518,20.8675,988.3645,1001.8804,83.6651,64.0707
S03B,30,Sanquianga,3,S03,2.767854,-78.319562,30/04/2021,12:40:00,Baja,0.45,1.21,0.36,27.28,1.23,43.5,27.7,8.12,6.29,0.9,35.8,33,62,Oceanico,24.681662295081967,32.548900819672134,4.787365,1021.6551860655737,31.25,25.83265,32.743700000000004,4.855,1021.2046,31.25,122,122,122,122,122,3.414370709690834,3.4513574076185285,0.7045556940310657,3.20050984134012,17.681204710086924,18.5373,1.6371,3.409,998.3004,1,28.0679,35.0429,5.6013,1025.2475,61.5,158.4275,10.3572,4.8716,4.5152,95.2356,497.5823,38.7609,34.8562
S04A,31,Sanquianga,4,S04,2.735304,-78.319532,30/04/2021,6:38:00,Alta,0.09,0.87,0.33,12.67,0.73,46.6,30,8.16,6.85,2.5,22.6,28,47,Costero,27.873524444444445,31.655713333333335,5.354741860465117,1019.9752533333333,12,27.9671,32.1819,5.4548,1020.3285,12,45,45,45,45,45,0.20637250869104223,1.3675421977202218,0.27695137293013156,0.9724780181203493,6.566962768281849,26.9841,24.4799,4.5903,1014.9614,1,28.0211,32.3741,5.7893,1020.6126,23,2333.9765,1913.1839,172.8776,120.7833,3158.6482,3070.9694,233.0819,176.8317
S04B,32,Sanquianga,4,S04,2.735304,-78.319532,30/04/2021,11:59:00,Baja,0.69,2.17,0.35,42.35,2.39,39.4,24.8,8.1,5.91,0.75,42.1,39,64,Costero,27.755507692307692,29.70898717948718,4.9701176470588235,1018.5467230769231,10.5,27.842,30.9765,5.225899999999999,1019.4704,10.5,39,39,39,39,39,0.13162472049176194,2.516978477019356,0.527236406334002,1.8690058699270704,5.70087712549569,27.4932,24.5891,4.0439,1014.7458,1,27.8565,31.9357,5.5177,1020.2267,20,85.5616,59.7648,7.508,6.3957,858.0083,612.517,51.7581,41.3358
S05A,33,Sanquianga,5,S05,2.702753,-78.319502,29/04/2021,17:09:00,Alta,0.06,0.53,0.14,9.41,1.14,42.6,27.2,8.12,6.7,2.5,77.75,32,47,Costero,27.91612380952381,30.455366666666666,5.273404761904762,1019.0287238095239,6,27.9738,32.0131,5.414,1020.1724,6,21,21,21,21,21,0.1768531817773206,5.131641833208289,0.3286326862565415,3.819931256698835,3.1024184114977142,27.5358,8.4429,4.3597,1002.6861,1,28.1276,32.4692,5.5268,1020.6896,11,446.9785,332.105,37.1216,25.7907,1722.899,1386.7114,114.6839,90.7579
S05B,34,Sanquianga,5,S05,2.702753,-78.319502,29/04/2021,11:18:00,Baja,0.84,1.49,0.91,45.98,3.64,37.5,23.6,8.04,5.6,1,87.55,43,60,Costero,27.39166875,25.5832375,4.208971428571428,1015.5593125,4.75,27.43675,27.29225,4.22185,1016.8149000000001,4.75,16,16,16,16,16,0.281629502996993,5.914030589468291,0.36181346538826287,4.3078022821968025,2.3804761428476167,26.4223,4.3041,3.7573,1000.0697,1,27.5724,28.746,5.1118,1017.8724,8.5,157.2771,4.5348,4.1416,3.9319,853.6887,347.8497,27.2611,23.2488
S06A,35,Sanquianga,6,S06,2.670203,-78.319473,29/04/2021,16:23:00,Alta,0.25,2.28,0.25,44.44,1.57,38.3,24.1,8.03,6.12,2.5,160.97,35,47,Costero,28.1474125,26.671308333333332,4.8573375,1016.1364,6.75,28.1894,27.841,4.867850000000001,1017.0020999999999,6.75,24,24,24,24,24,0.11762425553061065,3.812832632721364,0.27838224083240215,2.794813621070584,3.5355339059327378,27.64,10.6847,4.3428,1004.4749,1,28.2108,30.0411,5.5511,1018.6515,12.5,145.9709,19.6088,7.5905,6.1064,918.8795,588.4849,49.4185,39.598
S06B,36,Sanquianga,6,S06,2.670203,-78.319473,29/04/2021,10:33:00,Baja,0.73,2.46,0.47,44.98,4.99,35.7,22.3,8.02,5.41,1,188.05,46,60,Costero,27.369175862068968,23.572293103448274,4.281961538461538,1014.0837793103448,8,27.5272,24.7582,4.437200000000001,1014.8983,8,29,29,29,29,29,0.43195571999848414,5.613536331871066,0.3061173697481711,4.018738522523436,4.257346591481601,25.4704,0.4015,3.7045,997.4123,1,27.5943,27.0294,4.5668,1016.6084,15,151.1616,49.2409,5.0261,3.1177,2291.2474,1772.8036,76.5277,37.3146
