"combinada","altura","fecha","hora","fecha_Hora"
"146","30/04/2021 0:10",-0.053,"2021-04-30","0:10:00",2021-04-30 00:10:00
"147","30/04/2021 0:20",-0.011,"2021-04-30","0:20:00",2021-04-30 00:20:00
"148","30/04/2021 0:30",0.044,"2021-04-30","0:30:00",2021-04-30 00:30:00
"149","30/04/2021 0:40",0.111,"2021-04-30","0:40:00",2021-04-30 00:40:00
"150","30/04/2021 0:50",0.189,"2021-04-30","0:50:00",2021-04-30 00:50:00
"151","30/04/2021 1:00",0.279,"2021-04-30","1:00:00",2021-04-30 01:00:00
"152","30/04/2021 1:10",0.379,"2021-04-30","1:10:00",2021-04-30 01:10:00
"153","30/04/2021 1:20",0.489,"2021-04-30","1:20:00",2021-04-30 01:20:00
"154","30/04/2021 1:30",0.608,"2021-04-30","1:30:00",2021-04-30 01:30:00
"155","30/04/2021 1:40",0.735,"2021-04-30","1:40:00",2021-04-30 01:40:00
"156","30/04/2021 1:50",0.87,"2021-04-30","1:50:00",2021-04-30 01:50:00
"157","30/04/2021 2:00",1.01,"2021-04-30","2:00:00",2021-04-30 02:00:00
"158","30/04/2021 2:10",1.156,"2021-04-30","2:10:00",2021-04-30 02:10:00
"159","30/04/2021 2:20",1.306,"2021-04-30","2:20:00",2021-04-30 02:20:00
"160","30/04/2021 2:30",1.46,"2021-04-30","2:30:00",2021-04-30 02:30:00
"161","30/04/2021 2:40",1.615,"2021-04-30","2:40:00",2021-04-30 02:40:00
"162","30/04/2021 2:50",1.772,"2021-04-30","2:50:00",2021-04-30 02:50:00
"163","30/04/2021 3:00",1.928,"2021-04-30","3:00:00",2021-04-30 03:00:00
"164","30/04/2021 3:10",2.084,"2021-04-30","3:10:00",2021-04-30 03:10:00
"165","30/04/2021 3:20",2.237,"2021-04-30","3:20:00",2021-04-30 03:20:00
"166","30/04/2021 3:30",2.386,"2021-04-30","3:30:00",2021-04-30 03:30:00
"167","30/04/2021 3:40",2.532,"2021-04-30","3:40:00",2021-04-30 03:40:00
"168","30/04/2021 3:50",2.672,"2021-04-30","3:50:00",2021-04-30 03:50:00
"169","30/04/2021 4:00",2.805,"2021-04-30","4:00:00",2021-04-30 04:00:00
"170","30/04/2021 4:10",2.931,"2021-04-30","4:10:00",2021-04-30 04:10:00
"171","30/04/2021 4:20",3.049,"2021-04-30","4:20:00",2021-04-30 04:20:00
"172","30/04/2021 4:30",3.158,"2021-04-30","4:30:00",2021-04-30 04:30:00
"173","30/04/2021 4:40",3.257,"2021-04-30","4:40:00",2021-04-30 04:40:00
"174","30/04/2021 4:50",3.346,"2021-04-30","4:50:00",2021-04-30 04:50:00
"175","30/04/2021 5:00",3.423,"2021-04-30","5:00:00",2021-04-30 05:00:00
