"PC01","PC02","PC03","PC04","PC05","PC06","PC07","PC08","PC09","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28"
"G01B",-3.61971395617224,3.28794981091644,-0.938643346454738,-0.00909567886536866,-1.04686627905906,0.631866326662675,0.699916839366749,0.439665177258651,0.0807578525190589,0.41674188460851,0.247533280316994,-0.723383152337148,0.110743624203486,-0.607613895259709,0.129316851756643,-0.262341385849917,0.052358900783463,-0.0976218856231491,0.0134967717877519,0.0124996167499755,-0.0011538047926464,0.00927075750740154,0.013448619034606,0.0119944942079056,0.00298962462640038,-0.000576378041257986,-0.000931459802538503,-2.78520905093492e-05
"G02A",-4.14839580988286,0.892470211724699,0.329649924884197,0.0181551005096629,-0.880427836458828,-0.0858633810992734,0.414596023256743,0.298584942071325,-0.333696529065767,0.1342162457842,0.455769495729286,0.140276931933527,-0.27985959016999,0.263316059831918,0.0652131072690698,-0.0254708275990907,0.156081835479482,-0.0518736594386777,0.100674608212814,0.132293388459716,0.0766930278508203,-0.00486902771335897,0.00895692727018284,-0.00317959247787072,0.00346659910081266,0.00137921600925006,0.00114833651651713,2.94116754871337e-05
"G02B",-1.98552111108465,2.60534910780025,-0.791093119082103,1.0846610294914,-1.04765033358066,0.749577544505139,0.599581521243383,0.438667198998464,-0.601602423802073,-0.413205543550259,0.198581735654802,0.143020336500579,0.17176816396389,-0.155147574413766,-0.0395589088733099,0.201151024102012,-0.188451181414519,0.06954433168288,0.0378354467628142,-0.135077797772101,-0.024716702234443,-0.00548366446851944,0.0150682766186252,-0.00936339044841068,-0.00212150116729643,-0.00135514596316821,0.00128494341738339,-3.7002880415235e-06
"G03A",-3.50034905388914,-0.0557725999165238,0.517553764333128,-0.307495780262736,-0.21147865067417,-0.679801686426299,-0.250998862729801,-0.0182480673992643,-0.659256026405892,-0.408102451572821,0.0574301552229746,0.435863160227801,0.213836878009925,0.537094829352211,0.256374834794437,-0.223437882908021,-0.0759085747458328,-0.0820263836690558,0.123511224299844,-0.0595762648850877,-0.00505072376870994,-0.0115947226764658,-0.00907793500477958,0.00941738601679879,0.00246295207022339,0.000648990827432805,-0.000238281327823386,-0.000113091364268839
"G03B",-0.291304305992756,1.5786317578163,0.422965916778826,1.36599883315374,-1.00307920970993,0.304069832496742,0.454846812804687,-0.238230571917445,-0.405091014153338,0.0657212802192213,-0.297304615311524,-0.442979884105548,0.547122185886974,0.147356511865123,0.112261454488449,0.0295977505148965,-0.239381944422337,-0.0529221823939717,0.00176603564524749,0.00844840198191273,0.0303884090853062,-0.0214696655249118,0.00589440997984243,-0.00944358310498536,-0.00138356273598898,0.00184392618652796,0.000179938502194221,6.12693681113659e-05
"G04A",-0.46147314767072,-3.04336601741022,2.67518119923922,0.71346260322161,0.228864378217854,-0.0100870806601642,0.176868403486418,0.100257750435004,0.419455242413974,0.843319356956321,0.104996574090965,0.220866898408513,-0.324856607500626,-0.0655433784997301,-0.0247600835514994,-0.0521757332806193,-0.242749546703091,-0.210881464395006,-0.0576033487749349,-0.0244162556422708,0.0245415794122769,-0.0164037639843562,0.0153624649822923,0.000560360767588787,-0.00283853438678025,-0.00101521505652713,0.000238858300145028,-0.000120514046718656
"G04B",8.17013275938983,0.991384708355435,2.45629868093053,-3.79029005536173,-0.969324931987934,2.06719819123227,0.856368424879827,0.00923153318100131,-0.344710821338824,-0.527238619397085,-0.226926829172421,0.145873258487606,0.158973804159767,-0.0079280437591599,-0.124688728119754,0.109983955197413,0.141600579103035,-0.0982098036421176,-0.0498749892795515,0.00297562846324559,0.0288812834742083,0.0131565586229066,-0.00264923664469184,0.000378281892944164,0.000110829680535818,-0.000702027555175899,-2.37967709110221e-05,-1.17204258552337e-05
"G05A",0.70793509079502,-2.76826559019829,1.59951951937024,0.95345735641993,-0.238284063858286,0.168702783857545,0.67939746282929,-0.047124755814964,0.503188842193738,0.531321783272023,0.304787603571822,0.144433058388649,0.359504495492291,0.00945796174814229,-0.278528357052082,0.0539991423990476,0.0801692964426213,0.0296324451995558,-0.0648158287245695,0.0680677849292498,-0.0217112689833543,-0.0110522585684772,-0.0125067490869922,-0.00637416049153661,0.00393618317542545,-0.000403763965986847,-0.000100999362061427,-0.000147161388721987
"G05B",6.8271934138247,4.06237727351875,1.60345143575791,1.2580964564635,1.0078394724896,-0.488142551153902,-1.32117043681311,1.22763941473608,0.307767811862446,-0.510150385957872,0.534018177202735,0.0650948289713131,-0.0933192068624726,-0.0617209523405059,-0.021993403028737,-0.032759635313403,-0.242538069558862,0.0529065782444302,-0.0574490177341864,0.0970805057686455,0.00574815676219695,0.027196376839651,0.000702001342054375,0.00255382747847762,-0.000664782726626967,-7.40070214441113e-05,-0.000137551476223519,2.91077402388255e-05
"G06A",1.8671484497578,-1.56176928794665,1.4306030651788,1.46926372017484,-0.276606537445717,-0.328546684185225,0.461843644793872,-0.693516493362791,0.25668874114463,0.662344019633739,0.482795942046959,0.0751683807859961,0.373823811807519,-0.10442001704169,-0.335079675880173,-0.156982483634208,0.059302427503739,-0.001784036547091,0.0757550687641387,-0.0783590391494055,0.0249960489502589,0.0251722218214503,-0.00933104167183446,0.00550257436727482,-0.000370630881982279,0.000656481911341211,-7.03938787007807e-05,0.00020807266923738
"G06B",9.38985884186472,4.53826924718795,2.31564760866593,-0.656165366316361,-0.183296300285626,-0.147467292619241,-0.750933734172233,-0.807002936996853,0.390363855816409,0.417094705626289,0.138345152498137,0.0346852654519949,-0.109120770768142,0.10172302234991,0.126336926836261,-0.17374279984743,0.0388814004940808,0.162933732078856,0.0954386946104002,-0.0543952777214644,-0.0285708254645466,-0.0283431650197634,0.000991003780762802,-0.00126446108301142,-2.3459726400958e-05,0.000741877084987963,5.57460584982294e-05,-3.58507228006696e-05
