"PC01","PC02","PC03","PC04","PC05","PC06","PC07","PC08","PC09","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","NA","NA"
"A06A",-3.7257657106877,-1.42253713617167,0.140518890137404,-1.28227691424653,-3.45179677235725,-0.448702379299818,-0.278282417775345,0.484828719236249,-0.0667360506376155,0.124796487892348,0.189443021009409,0.0333142232375396,-0.351928276315341,0.5440971935691,0.461571168875966,0.148521187003616,0.256791379712929,-0.118245231200011,0.135025407270462,-0.187738248355223,-0.138362490502997,0.16350390184331,-0.0753786026452462,-0.0264196883854299,0.0312538257933667,0.0730895582289142,-0.0209965967608319,-0.0287020350634597,0.00635141187442102,-0.023756776799253,-0.00294242140882634,-0.00165951158649601,-0.00270806566433175,4.8683380466423e-05,-1.79645821193897e-06,-2.77555756156289e-17
"A06B",-4.85112743605658,-1.19037459681606,-0.795727890351859,-1.17950694222148,-3.67928778641233,-0.696053979204341,0.830820961012065,1.00427269142857,-1.01350028152818,0.573703704143643,0.138329867792999,0.262361238828248,0.161367825297544,-0.0540386027660085,-0.366361982393827,-0.201001622023924,0.19499580240605,0.0469180733076885,0.0621004707186355,-0.0147734515511048,0.0461422427823286,-0.0731184248858368,0.144326064221024,0.0415032678570031,-0.0682565247317771,-0.110606790337727,-0.0137077772585961,0.0114500546031432,-0.0194361655926194,0.00864246435064537,-0.000550291053850026,-0.00232436427657058,-0.00226366618208496,-3.75038982051296e-06,2.56255583004628e-06,3.05311331771918e-16
"G01A",7.3773875189586,0.475242781510773,-0.985991343593686,-1.26044525559991,0.108293414988679,0.254003996050529,0.561271123761159,0.502434870267645,1.39984187752724,0.51267988887793,-0.235256006110032,0.314702412484412,0.488307431398318,0.510496189802283,0.647306405876967,-0.715718421050067,0.13989048726383,-0.171800176286408,-0.0109335294704182,0.244050207696315,-0.0246142654286662,0.0692380184030495,0.0878641522179196,-0.0809448702377902,-0.0299309015625941,-0.0303630284469686,0.0280838663590765,-0.00156112461398839,-0.00673554808521337,0.000264561833358479,-0.00219819060464863,0.0054646557696788,0.00138504104710547,3.34929659201212e-05,-8.01697631336307e-07,-1.66533453693773e-16
"G01B",6.56630587486837,4.03573739242069,0.25286632669027,-0.609166603290114,-0.351979733754309,1.04610870914774,-0.592097074887487,0.602185293143285,0.0846730606417131,0.890989337206886,0.227335883956115,0.373656946344371,0.161148907981724,-0.435367283531177,0.619289791105017,0.451205397370076,-0.00661303531573468,0.162434775053327,-0.121125481164687,0.13427791741558,0.177834642805395,-0.135048432007957,0.0278874879229623,0.124707780626805,0.0162957081469763,0.0390749376418833,-0.00531656858366741,-0.0144588602628457,-0.00258050510216472,-0.00157270801810941,-0.00367006764651944,-0.00789631055058099,0.000426354798896857,8.90804251839385e-05,3.64174337635914e-06,-1.66533453693773e-16
"G02A",4.40659824151587,0.292129241422976,-6.83609420057876,7.15965123654902,-1.55613690333248,-1.05672381752533,-0.0686706339470958,-0.177465278062253,-0.00441740769337459,0.141406718108556,-0.214795389366045,0.00897224490722502,0.0379627477443911,-0.0694995214064369,-0.0519978645622419,0.0519714639984167,-0.0299114843515302,0.0154818124632766,0.0161972934804515,-0.00559390016508216,-0.0194969649341009,-0.0070815735423676,-0.00312427372872951,-0.00193108243926658,0.0061993935788207,0.0152931589997946,0.0120380158002697,0.00065197573711588,0.00361600510337684,-0.00171043370489492,0.000240643450115588,0.000457838315783838,6.71792457803996e-05,5.90046210265788e-06,-6.79642189443941e-07,5.55111512312578e-17
"G02B",3.67721404294084,2.91788941728943,0.230379131799212,-0.37580190294911,-0.339545547193027,1.46996086438464,-1.24839624972585,-0.571899009879646,-0.191114367670751,0.527756226867097,0.234812022489245,0.237359289560852,0.0457809984197193,-0.271071475681756,-0.0968456930821903,0.326285728883287,0.0154999698161256,0.0927653995340842,0.158267634496356,-0.129346683612792,-0.00278610961295039,0.158621061191739,0.172331624569889,-0.0898999621207901,0.0842853020653791,-0.0439520027077764,-0.037849355924464,0.0353455030764034,0.0184786666012019,-0.00581463136717743,-0.00692831138305868,0.00326832534561466,0.000755822190736717,-0.000149157193619106,-8.6031153009869e-07,-1.11022302462516e-16
"G03A",3.79410071807297,-1.44022933638317,-0.580264728716589,-0.613766655767644,0.244256956606199,0.0907162399742758,0.041896800153575,-0.711642084825388,0.864969514255202,-0.515013270148419,0.255961008106978,0.0745588037587983,-0.206852064343911,0.443715059328327,-0.564287639872541,0.358361208951759,0.147219359450933,-0.124616603536826,-0.362949012887771,-0.26063943943472,0.195914509129471,-0.0969413222420178,0.0213992521851539,-0.133527166981195,-0.0420686780866269,-0.031856436541387,-0.0184316947128583,-0.00875294854219897,0.000158266085311376,0.000862345000011471,-0.0048794159982832,-0.0053347843670842,0.00144288802115657,0.000117531615289762,1.95376689766935e-06,2.77555756156289e-17
"G03B",1.36891780986438,0.279533077239754,-0.0499584370499377,0.0972119647589233,0.0805790268725989,2.02906883547988,-1.10802183043273,-1.12188594154131,0.713521556856244,0.0324946978105722,0.183414782591338,-0.404176316789785,-0.00191133990160233,0.144272920812827,0.104756973755517,-0.107722011560348,-0.326310595945428,0.167023326543819,0.105275400431797,-0.213263506309677,0.0876870132628357,0.112349160259842,0.0265741938462097,0.0872482760756801,-0.0429067050840556,-0.0395782782474496,0.0114919073902967,0.00375845903575114,-0.0126149877088971,0.00906235516297684,0.005331522683136,0.000694925063277592,-0.00481972367461428,0.000103747894986215,-8.24830252952463e-06,8.32667268468867e-17
"G04A",-1.39204325628986,-3.41104250648486,1.48722594807434,1.42101684218372,2.76460668431541,-0.624343116965818,-0.218910659760058,0.571707470724836,-0.17472193331817,0.521420514401138,-0.441723603514018,1.0245697700633,-0.140910365885261,0.0520197590035759,-0.13485876627417,-0.338180759133485,-0.103442208310332,-0.0888958258091865,-0.0266823424630873,-0.318676256775622,0.0577705114918282,-0.0205267207288156,0.0477276855476461,0.083582408299222,0.114593410610568,-0.0235552007131549,0.0368448230386618,-0.047435894126947,-0.00390659849914851,0.000717434070926229,-0.00481531545009774,0.00229319278213704,-0.000472038817970482,-1.45234009722786e-05,3.39718770198116e-08,-2.77555756156289e-17
"G04B",-8.17995638597833,2.13026227638932,-4.0426011914051,-2.0946678322089,1.60490848439621,1.11397023383379,0.772266034085341,0.561918649123458,-0.316825458629851,-0.173825439952982,0.13524289343909,0.333775697491354,0.00993513829099497,-0.15225389811954,0.201318042801445,0.160931703236238,0.0265133985545558,0.0264608631583719,0.221734790495837,-0.129241804974506,-0.0594538754918358,-0.186993510115285,0.0727109674401797,-0.0771814312347328,-0.0411833340357588,0.0523704799958297,-0.0325529851970724,-0.0350454343846894,0.0150998601546483,0.0198975533743914,0.00256084884315392,0.0036316607440424,0.000887538842218938,7.89068134819139e-06,-4.85320451024118e-06,0
"G05A",-2.49352764502921,-3.30650726616311,0.917937206239636,0.8735730866837,1.50381504323613,0.256788558951652,-0.444313360695681,0.605041332091172,0.374709691955292,0.873876412225739,-0.270540444369649,0.232359264098345,-0.34975170138213,0.365951853105395,-0.256737701663239,0.0835793525852164,-0.474123312291516,-0.164876711429608,0.173905976384902,0.0979724049067112,-0.159479240920466,-0.0739809779059953,0.016338732146076,0.0513497856243623,-0.118068440104341,0.0323423763985131,-0.0580132521980829,0.0509037136434215,0.0201511443134433,-0.00851719101537853,-0.00389206147463893,-1.80673188796372e-05,0.00045501430146421,4.54895844119348e-05,1.85950672348945e-06,-1.94289029309402e-16
