Codigo,Temperatura_mean,Salinidad_mean,Oxigeno_mean,Densidad_mean,Profundidad_mean,Temperatura_median,Salinidad_median,Oxigeno_median,Densidad_median,Profundidad_median,Temperatura_n,Salinidad_n,Oxigeno_n,Densidad_n,Profundidad_n,Temperatura_sd,Salinidad_sd,Oxigeno_sd,Densidad_sd,Profundidad_sd,Temperatura_min,Salinidad_min,Oxigeno_min,Densidad_min,Profundidad_min,Temperatura_max,Salinidad_max,Oxigeno_max,Densidad_max,Profundidad_max
A06B,27.71968,25.78039,4.8627142857142855,1015.58935,3.25,27.7634,25.6498,4.6622,1015.4716000000001,3.25,10,10,10,10,10,0.23380813976896112,0.4712614972367025,0.5241376963755848,0.32087388748022316,1.5138251770487459,27.1291,25.1681,4.4,1015.3519,1,28.0521,26.7234,5.9775,1016.2686,5.5
G01A,22.990512560386474,33.780773429951694,4.642200483091788,1023.188890821256,52.5,22.8021,34.3582,4.6286,1023.716,52.5,207,207,207,207,207,3.1368716665283993,1.3325629046225331,0.6142883260522191,1.973619357602107,29.949958263743873,18.6777,26.6972,3.699,1016.352,1,27.9617,34.8283,5.958,1025.4253,104
G01B,22.40481298076923,33.43946442307692,4.344801470588235,1023.0598927884615,52.75,21.58365,34.409549999999996,4.2227999999999994,1023.7574500000001,52.75,208,208,208,208,208,4.332502311806811,2.3999970363072793,0.992723823181013,2.902184525224086,30.094296248071107,16.7434,11.8956,2.7393,1005.5034,1,27.9914,35.1955,5.7265,1026.0758,104.5
G02A,24.57066582278481,25.375969620253166,6.816074050632912,1016.3684265822785,40.25,24.8735,25.17615,5.340199999999999,1016.09865,40.25,158,158,158,158,158,1.1138945689781419,1.93694541231326,3.2575704231537985,1.7186575278440426,22.877390585466692,18.5766,21.6159,3.0846,1013.6721,1,25.0046,34.3434,14.1077,1024.833,79.5
G02B,23.929603896103895,32.939144155844154,4.513569934640523,1022.1613045454545,39.25,24.1155,32.7802,4.4226,1021.53855,39.25,154,154,154,154,154,4.033293049626785,2.3449629311279776,0.9397534902894376,2.784366183573487,22.30003736917646,17.7418,16.3038,2.8656,1008.5972,1,28.1403,34.9796,5.6552,1025.5933,77.5
G03A,24.862112068965516,33.176337068965516,4.957120869565218,1022.0770586206896,29.75,24.3478,33.615449999999996,5.0898,1022.4959,29.75,116,116,116,116,116,2.93026480189835,1.3810948387628637,0.5879405654553945,1.9281868242095939,16.815171720800237,20.0313,29.4392,3.6433,1018.3837,1,28.0467,34.8173,5.9422,1024.7292,58.5
G03B,25.649948245614034,32.699387719298244,4.885549549549549,1021.4622605263157,29.25,26.971449999999997,32.2562,5.0543,1020.55345,29.25,114,114,114,114,114,2.3956654152840384,2.052597799342469,0.5439271348049001,2.1658206934590982,16.52649388103841,21.4459,23.9402,3.6623,1014.189,1,28.0223,35.2585,5.6441,1024.8019,57.5
G04A,27.764346153846155,30.07826153846154,5.053484615384615,1018.8178076923077,4,27.9336,31.5692,5.0093,1019.8788,4,13,13,13,13,13,0.38389449856131236,3.869187564278075,0.1815704768868637,2.7369622489972167,1.9472202409246537,26.6895,18.8356,4.7962,1010.8592,1,28.0072,31.9827,5.3371,1020.1528,7
G04B,27.37267142857143,18.19117142857143,4.563416666666667,1010.0129428571429,2.5,27.4119,18.2258,4.5951,1010.0366,2.5,7,7,7,7,7,0.09472709422837962,0.3505899490586585,0.059470611789914,0.24598704476147146,1.0801234497346435,27.1688,17.7717,4.4523,1009.7801,1,27.4304,18.7465,4.601,1010.4144,4
G05A,27.781036363636364,30.098627272727274,5.148483333333333,1018.8238363636364,3.5,27.8521,30.4999,5.149900000000001,1019.069,3.5,11,11,11,11,11,0.2961718192965943,2.7271490359314465,0.0593447694971231,1.8982980721018115,1.6583123951777,26.9316,22.1402,5.082,1013.3003,1,27.961,31.6075,5.2538,1019.8895,6
G05B,27.30175,19.226266666666668,4.391566666666667,1010.8017666666667,2.25,27.26915,18.87605,4.3413,1010.5609,2.25,6,6,6,6,6,0.089607159312189,0.9843394407757242,0.12680640099511267,0.7382686195868386,0.9354143466934853,27.2365,18.2066,4.2976,1010.0279,1,27.4788,20.9487,4.5358,1012.1163,3.5
G06A,27.71565,29.10966923076923,4.124172727272727,1018.0778461538462,4,27.6937,29.4891,3.818,1018.3702,4,13,13,13,13,13,0.17304511497925018,1.8961619614300773,0.7862253075180283,1.3773664712144245,1.9472202409246537,27.4699,25.3984,3.6084,1015.3639,1,28.0073,31.4951,5.8209,1019.7824,7
G06B,26.961057142857143,16.271042857142856,4.33565,1008.702,2.5,26.9536,15.8747,4.3665,1008.4118,2.5,7,7,7,7,7,0.06473458264696078,2.331735536645857,0.2867445959967395,1.7257541163213397,1.0801234497346435,26.891,12.9757,3.9649,1006.2509,1,27.0935,20.5184,4.6447,1011.83,4
S01A,22.352627272727272,33.51865681818182,4.248476023391813,1023.09120625,44.75,20.2242,34.5035,3.8959,1024.4711,44.75,176,176,176,176,176,4.46287267208599,1.6464652580635857,0.91661459920763,2.550065750662818,25.475478405713993,17.1285,26.5318,3.0713,1016.3019,1,27.885,35.1393,5.7142,1025.8211,88.5
S01B,23.473273863636365,33.29877386363636,4.444955113636364,1022.6300789772728,44.75,22.4459,34.0429,4.206099999999999,1023.2951499999999,44.75,176,176,176,176,176,3.7691420388956063,2.839183859451538,0.7417870593771609,2.929042659780261,25.475478405713993,18.3221,0.3501,3.334,996.9767,1,27.9305,35.147,6.5277,1025.4804,88.5
S02A,22.90127837837838,33.431210067114094,4.326357042253521,1022.8710288590604,38,22.46595,34.1183,4.2819,1023.5528,38,149,149,149,149,149,3.8495468381336924,1.7485041704324273,0.7436579401655923,2.4168776934104046,21.578345627040086,18.1,25.476,3.0756,1015.4554,1,27.864,35.1246,5.7919,1025.4836,75
S02B,24.914191666666667,32.89403194444444,4.82033795620438,1021.8646444444445,36.75,26.38715,32.71595,4.8889,1021.27025,36.75,144,144,144,144,144,3.3420001517348563,1.7448105094644095,0.6936265008391623,2.210266805645144,20.85665361461421,18.8681,19.4762,3.6215,1010.6995,1,28.3921,35.0313,6.6182,1025.4028,72.5
S03A,24.012878787878787,33.07607575757576,4.67600534351145,1022.2418992424242,33.75,24.48155,33.13035,4.7817,1021.93465,33.75,132,132,132,132,132,3.979607117361492,2.662574916098193,0.9273389712433161,2.824265932202727,19.12459149890528,17.8308,7.195,2.8203,1002.5278,1,28.165,35.569,5.8524,1025.9971,66.5
S03B,24.681662295081967,32.548900819672134,4.787365,1021.6551860655737,31.25,25.83265,32.743700000000004,4.855,1021.2046,31.25,122,122,122,122,122,3.414370709690834,3.4513574076185285,0.7045556940310657,3.20050984134012,17.681204710086924,18.5373,1.6371,3.409,998.3004,1,28.0679,35.0429,5.6013,1025.2475,61.5
S04A,27.873524444444445,31.655713333333335,5.354741860465117,1019.9752533333333,12,27.9671,32.1819,5.4548,1020.3285,12,45,45,45,45,45,0.20637250869104223,1.3675421977202218,0.27695137293013156,0.9724780181203493,6.566962768281849,26.9841,24.4799,4.5903,1014.9614,1,28.0211,32.3741,5.7893,1020.6126,23
S04B,27.755507692307692,29.70898717948718,4.9701176470588235,1018.5467230769231,10.5,27.842,30.9765,5.225899999999999,1019.4704,10.5,39,39,39,39,39,0.13162472049176194,2.516978477019356,0.527236406334002,1.8690058699270704,5.70087712549569,27.4932,24.5891,4.0439,1014.7458,1,27.8565,31.9357,5.5177,1020.2267,20
S05A,27.91612380952381,30.455366666666666,5.273404761904762,1019.0287238095239,6,27.9738,32.0131,5.414,1020.1724,6,21,21,21,21,21,0.1768531817773206,5.131641833208289,0.3286326862565415,3.819931256698835,3.1024184114977142,27.5358,8.4429,4.3597,1002.6861,1,28.1276,32.4692,5.5268,1020.6896,11
S05B,27.39166875,25.5832375,4.208971428571428,1015.5593125,4.75,27.43675,27.29225,4.22185,1016.8149000000001,4.75,16,16,16,16,16,0.281629502996993,5.914030589468291,0.36181346538826287,4.3078022821968025,2.3804761428476167,26.4223,4.3041,3.7573,1000.0697,1,27.5724,28.746,5.1118,1017.8724,8.5
S06A,28.1474125,26.671308333333332,4.8573375,1016.1364,6.75,28.1894,27.841,4.867850000000001,1017.0020999999999,6.75,24,24,24,24,24,0.11762425553061065,3.812832632721364,0.27838224083240215,2.794813621070584,3.5355339059327378,27.64,10.6847,4.3428,1004.4749,1,28.2108,30.0411,5.5511,1018.6515,12.5
S06B,27.369175862068968,23.572293103448274,4.281961538461538,1014.0837793103448,8,27.5272,24.7582,4.437200000000001,1014.8983,8,29,29,29,29,29,0.43195571999848414,5.613536331871066,0.3061173697481711,4.018738522523436,4.257346591481601,25.4704,0.4015,3.7045,997.4123,1,27.5943,27.0294,4.5668,1016.6084,15
