Estaciones,Transecto,Sector,Marea,samUnits,Actinocyclus ,Actinoptychus senarius,Alexandrium ,Asteromphalus ,Asteromphalus flabellatus,Aulacodiscus archangelskianus,Aulacodiscus kittonii,Bacillaria paxillifera,Bacteriastrum delicatulum,Bacteriastrum furcatum,Bacteriastrum hyalinum,Cerataulina bicornis,Cerataulina dentata,Cerataulina pelagica,Ceratocoris horrida,Chaetoceros ,Chaetoceros affinis,Chaetoceros brevis,Chaetoceros coarctatus,Chaetoceros compressus,Chaetoceros curvisetus,Chaetoceros danicus,Chaetoceros debilis,Chaetoceros denticulatus,Chaetoceros diversus,Chaetoceros lacinosus,Chaetoceros lorenzianus,Chaetoceros paradoxus,Chaetoceros peruvianus,Chaetoceros protuberans,Chaetoceros pseudocurvisetus,Chaetoceros radicans,Chaetoceros subtilis,Climacodium frauenfeldianum,Coscinodiscopsis ,Coscinodiscopsis jonesiana,Coscinodiscus  ,Coscinodiscus aff asteromphalus,Coscinodiscus centralis,Coscinodiscus gigas,Coscinodiscus granii,Coscinodiscus marginatus,Coscinodiscus perforatus,Coscinodiscus radiatus,Coscinodiscus wailesii,Cyclotella striata,Dinophysis caudata,Diploneis gruendleri,Ditylum brightwellii ,Entomoneis,Eucampia zodiacus,Gonyaulax,Gonyaulax polygramma,Guinardia delicatula,Guinardia flaccida,Guinardia striata,Gyrodinium spirale,Gyrosigma ,Hemiaulus membranaceus,Hemiaulus sinensis,Hobaniella longicruris,Leptocylindrus danicus,Lioloma elongatum,Lioloma pacificum,Lithodesmium undulatum,Lyrella ,Melosira ,Meuniera membranacea ,Navicula ,Neocalyptrella robusta,Neodelphineis pelagica,Nitzschia  ,Nitzschia closterium,Nitzschia sigmaformis,Nitzschia sigmoidea,Odontella ,Odontella aurita,Ornithocercus,Ornithocercus steinii,Ornithocercus thumii,Phaeodactylum,Phalacroma ,Phalacroma mitra,Phalacroma rapa,Plagiotropis ,Planktoniella muriformis,Podolampas bipes,Proboscia alata,Prorocentrum ,Prorocentrum compressum,Prorocentrum cordatum,Prorocentrum lima,Prorocentrum mexicanum,Prorocentrum rhathymum,Protoperidinium,Protoperidinium ,Protoperidinium  ,Protoperidinium pyriforme,Protoperidinium pyrum,Pseudonitzschia ,Pseudosolenia calcar-avis,Pyrocistis ,Pyrodinium bahamense,Pyrophacus ,Rhizosolenia bergonii,Rhizosolenia cf. habetata,Rhizosolenia imbricata,Rhizosolenia setigera,Scripsiella ,Skeletonema costatum,Skeletonema pseudocostatum,Skeletonema tropicum,Stellarima ,Stephanopyxis turris,Streptotheca tamesis,Surirella ,Synedra ,Thalassionema ,Thalassionema frauenfeldii,Thalassionema nitzschioides/pseudonitzschioides,Thalassiosira ,Trieres chinensis,Trieres mobiliensis,Tripos ,Tripos arietinus,Tripos brevis,Tripos candelabrum,Tripos declinatum,Tripos eugrammus,Tripos extensus,Tripos fusus,Tripos karstenii,Tripos lunula ,Tripos macroceros,Tripos massiliensis,Tripos muelleri,Tripos pentagonus,Tripos teres ,Tripos trichoceros,Tripos vultur
G05A,Guascama,Costero,Alta,6,0,0,0,0,0,0,0,0,116,0,116,0,16,16,33,0,133,0,0,0,33,50,0,0,33,0,0,0,0,0,0,0,0,0,0,16,250,0,0,183,200,0,100,16,0,0,0,0,16,0,0,0,0,0,16,0,0,33,33,0,16,0,66,0,150,0,0,0,33,0,0,16,0,0,0,0,166,0,0,0,0,0,0,16,0,0,16,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,16,0,600,0,0,0,0,0,0,0,0,0,150,0,33,250,0,0,0,16,0,0,0,16,0,0,0,16,16,0,0,0,0
G05B,Guascama,Costero,Baja,6,0,16,0,0,0,16,0,0,0,16,0,0,0,0,0,100,383,66,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,283,466,0,0,66,116,0,166,0,0,0,0,0,66,0,16,0,0,0,100,0,0,0,0,0,33,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2583,0,0,0,0,0,0,0,0,0,133,0,166,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G06A,Guascama,Costero,Alta,6,0,0,0,0,0,0,0,0,116,16,0,0,0,100,0,0,383,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,166,116,0,0,183,533,0,0,66,116,0,0,0,66,0,0,0,0,83,50,0,0,116,0,0,33,0,0,16,83,0,0,0,0,16,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,2200,0,33,0,0,0,0,0,0,0,216,0,366,300,0,0,0,0,0,0,0,16,0,0,0,16,33,0,0,0,0
G06B,Guascama,Costero,Baja,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,416,0,0,0,0,0,300,0,233,0,0,50,0,0,0,0,0,0,0,0,66,0,0,0,33,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6166,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S01A,Sanquianga,Oceanico,Alta,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,116,0,0,0,0,33,0,0,0,0,0,16,16,0,0,116,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,16,0,0,0,33,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,0,0,0,0,0,0,0,0,0,33,0,33,0,16,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S01B,Sanquianga,Oceanico,Baja,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,50,0,0,66,0,50,0,0,0,0,0,0,0,0,0,33,16,0,216,66,0,0,16,33,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S02A,Sanquianga,Oceanico,Alta,6,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,16,0,0,0,50,33,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1733,0,0,0,0,0,0,0,0,0,0,0,16,0,50,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0
S02B,Sanquianga,Oceanico,Baja,6,0,0,50,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,83,50,0,0,0,0,0,33,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,16,0,0,0,0,0,0,750,133,0,0,0,0,0,0,16,33,50,0,33,0,0,0,0,0,0,0,0,0,0,0,0,16,50,0,0,0,0
S03A,Sanquianga,Oceanico,Alta,6,0,0,0,0,16,0,0,0,33,0,0,0,0,0,16,0,316,100,0,0,0,16,0,0,300,0,333,0,0,0,0,0,0,0,0,0,0,0,0,133,16,0,0,0,0,0,0,0,16,0,0,0,0,0,133,0,0,0,0,33,0,0,16,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,33,0,0,0,0,0,0,16,16,0,33,0,0,0,0,0,0,0,0,33,0,0,3850,0,0,0,0,0,16,0,0,0,0,0,83,0,50,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0
S03B,Sanquianga,Oceanico,Baja,6,0,66,0,0,0,0,0,200,83,0,0,0,83,50,0,0,533,116,0,0,0,166,0,0,116,0,83,0,0,0,0,0,0,0,0,433,633,0,0,16,50,0,100,0,83,0,0,0,50,16,0,0,0,33,83,0,0,16,0,0,0,0,16,16,16,0,0,0,100,16,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,50,0,0,100,0,0,0,0,0,0,100,0,0,5333,0,0,0,66,0,0,0,0,0,183,16,266,116,0,0,0,0,0,0,0,0,0,0,16,0,33,0,0,0,0
