Especies,Conteo,Estacion,,Suma de Conteo,Etiquetas de columna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinocyclus senarius,2,S06B,,Etiquetas de fila,A01A,A01B,A02A,A02B,A03A,A03B,A04A,A04B,A05A,A05B,A06A,G01A,G01B,G02A,G02B,G03B,G04A,G04B,G05A,G05B,G06A,G06B,S01A,S01B,S02A,S02B,S03A,S03B,S04A,S04B,S05A,S05B,S06A,S06B,Total general
Trieres chinenesis,38,S05B,,Coscinodiscus sp 1,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,8
Trieres mobiliensis,20,S05B,,Coscinodiscus sp 2,,7,,,,3,,,2,6,,,2,,4,,9,1,11,12,7,4,1,2,,1,,,4,,1,50,20,,147
Tripos extensum,2,S05B,,Coscinodiscus sp 3,,,,,,,,,,,,,,,,,,7,,2,,,,,,,,3,,6,,,,,18
Bacteriastrum delicatulum,3,S06A,,Coscinodiscus sp2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,29
Bacteriastrum hyalinum,5,S06A,,Coscinodiscus wailesii,,,,,,,,,,2,,,,,,,,,,,,,,2,3,,,,,,,,,,7
Cerataulina pelagica,1,S06A,,Coscinodiscus wailesii (?),,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Cerataulina sp,3,S06A,,Coscinodiscus wailessii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2
Chaetoceros affinis,29,S06A,,Coscinodiscus wailessii ,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
Chaetoceros coarctatus,4,S06A,,Coscinodiscus waillesii,,1,,,,,,,1,,,,,,,3,,,,,7,,,,,,,,,,,,,1,13
Chaetoceros curvisetus,70,S06A,,Coscinodiscus waillessi,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Chaetoceros danicus,15,S06A,,Coscinodiscus waillessi-gigas,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Chaetoceros denticulatus,2,S06A,,Coscinodiscus waillessii,,,,,,,,,,,7,,,,,,,,,,,,,,,,,5,,,,,,,12
Chaetoceros diversus,6,S06A,,Coscinodispcosis jonesiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
Chaetoceros lorenzianus,21,S06A,,Coscinodisus gigas,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,2,,,,6
Chaetoceros peruvianus,4,S06A,,Coscinoduscus perforatus,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
Chaetoceros radicans,1,S06A,,Coscinoiscopsis jonesiana,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
Chaetoceros sp 1,63,S06A,,Cosinodiscus asteromphalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,9
Chaetoceros sp 2,5,S06A,,Cosinodiscus granii,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,14
Coscinodiscopsis jonesiana,6,S06A,,Cratocoris horrida,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
Coscinodiscus gigas,1,S06A,,Cyclotella striata,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
Coscinodiscus granii,4,S06A,,Dactyliosolen sp,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
Coscinodiscus marginatus,1,S06A,,Diatomea central peque¤a,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
Coscinodiscus perforatus,6,S06A,,Diatomea pennada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2
Coscinodiscus radiatus,1,S06A,,Dinoflagelado circular,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
Coscinodiscus sp 1,3,S06A,,Dinoflageladodesnudo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
coscinodiscus sp 2,20,S06A,,Dinoflagelados 1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
Coscinodiscus wailesii,2,S06A,,Dinophysis caudata,,2,,,,,,6,,,,,2,2,8,,,,,,,,,,,2,,,,2,,2,,,26
Coscinodiscus asteromphalus,9,S06A,,Dinophysis cuadata,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
Ditylum brightwellii,5,S06A,,Diploneis gruendleri,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
Gonyaulax sp,1,S06A,,Ditylium,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
Guinardia flaccida,17,S06A,,Ditylum brightwellii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,5,,10,21
Hemiaulus sinensis,2,S06A,,Ditylum brigthwelli,,,,,,1,,,,,,,5,,1,,,,,,,,,1,,,1,,,,,,,,9
Hemiaulus sp,2,S06A,,Ditylum brigthwellii,,3,2,,,,,,,,,1,,2,,1,1,,,,4,,,,,1,,3,,,,,,,18
Hobaniella longicruris,5,S06A,,Ditylum brithwellii,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,2,,5,,12
Leptocilindrus danicus,2,S06A,,Ditylumbrithwellii,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Lioloma elongatum,2,S06A,,Dity¤um brigthwellii,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,3
Lioloma pacificum,1,S06A,,Dityum brithwellii,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
Lioloma pacificum,5,S06A,,Dytilium brigthwellii,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3
Lithodesmium undulatum,6,S06A,,Dytilum brigthwellii,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Lyrella sp,1,S06A,,Entomoneis sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
Odontella aurita,9,S06A,,Eucampia zodiacus,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
Proboscia sp,2,S06A,,Gonyalacaceae,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Prorocentrum rhathymum,1,S06A,,Gonyaulax sp,,,,2,,,,,,,,,1,1,,,,,,,,,,,3,,,,,,,,1,,8
Prorocentrum sp,1,S06A,,Goyaulax polygrama,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Proboscia alata,2,S06A,,Guinardia delicatula,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2
Protoperidinium sp 1,2,S06A,,Guinardia flaccida,,,,,,1,,,1,,3,1,,,,3,3,8,1,6,3,,,,,,1,5,2,,11,17,17,34,117
Rhizosolenia cf hebetata,1,S06A,,Guinardia sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,2
Rhizosolenia imbricata,5,S06A,,Guinardia striata,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,3
Rhizosolenia setigera,1,S06A,,Gunardia delicatula,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,5
Skeletonema pseudocostatum,9,S06A,,Gyrodinium spirale,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Skeletonema costatum,287,S06A,,Gyrosigma sp,,,,,,,,,,,5,,,,2,,3,,2,,7,1,,,,,,3,,4,1,2,,9,39
Skeletonema tropicum,155,S06A,,Gyrosigma sp 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,3
Stephanopyxis turris,1,S06A,,Hemialus hauckii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2
Thalassionema nitzschioides,22,S06A,,Hemialus menbranaceus,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2
Trieres chinenesis,28,S06A,,Hemiaules mambranaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
Trieres mobiliensis,11,S06A,,Hemiauls sinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2
Tripos eugrammus,2,S06A,,Hemiaulus membranaceus,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2
Tripos muelleri,1,S06A,,Hemiaulus menbranaceae,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Bacteriastrum hyalinum,23,S05A,,Hemiaulus sinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,3
Cerataulina dentata,1,S05A,,Hemiaulus sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2
Cerataulina bicornis,1,S05A,,Hobaniella longicruris,,,,,,,,1,2,2,1,,,,,,1,11,1,2,2,,,,,,,2,,2,4,2,5,,38
Cerataulina pelagica,2,S05A,,Leptocilindrus danicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2
Chaetoceros paradoxus,8,S05A,,Leptocilindrus sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3
Chaetoceros affinis,55,S05A,,Lioloma elongatum,,,,,,,,,,,,,,,,,1,1,4,,,,,,2,,1,1,3,,,3,,5,21
Chaetoceros coarctatus,2,S05A,,Lioloma elongatun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2
Chaetoceros compressus,2,S05A,,Lioloma pacifica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
Chaetoceros danicus,11,S05A,,Lioloma pacificum,,,,,,,,,,,,1,,3,1,1,3,,,1,,,,,,,,1,,2,,,5,,18
Chaetoceros debilis,10,S05A,,Listodemiun undulatum,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Chaetoceros denticulatus,4,S05A,,Listodesmium undulatum,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
Chaetoceros diversus,12,S05A,,Listodesmiun undulatum,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Chaetoceros lorenzianus,23,S05A,,Listudesmium undulatum,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Chaetoceros peruvianus,1,S05A,,Lithodesmium undulatum,,,,,,,,,,,,,,,,,,2,9,,,,,,,,,,,,,9,6,5,31
Chaetoceros sp 1,21,S05A,,Lithodesmiun undulatum,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2
Coscinodiscus granii,1,S05A,,Litodesmium undulatum,,,,,,,,,,,,,,,,,,,,,4,,,,,,,1,1,,1,,,,7
Coscinodiscus sp 2,1,S05A,,Litodesmiun undulatum,,,,,,,1,,,,24,,1,,15,,,,,,,,2,,,,,,,4,,,,,47
Coscinodisus gigas,2,S05A,,Litodesmiun undultum,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Ditylum brightwellii,2,S05A,,Litodesmiun unulatum,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2
Guinardia flaccida,11,S05A,,Lyrella sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
Guinardia sp,1,S05A,,Melosira sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2
Guinardia striata,1,S05A,,Meuneira membranacea,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2
Gyrosigma sp,1,S05A,,Meuneria membranaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2
Hemiaulus hauckii,2,S05A,,Navicula sp,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,6,,,,,,1,10
Hemiaulus membranaceus,1,S05A,,Neocaliptrella robusta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
Hobaniella longicruris,4,S05A,,Neocallitera robusta,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
Leptocilindrus sp,3,S05A,,Neodelphineis pelagica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3
Lithodesmium undulatum,1,S05A,,Nepcalliptrella robusta,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
Meuniera membranacea,2,S05A,,Nitzschia sigmaformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,3
Neodelphineis pelagica,3,S05A,,Nitzschia sigmoidea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Phalacroma sp,1,S05A,,Nitzschia sp,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,9,,,10
Plagiotropis sp,1,S05A,,Nizschia closterium,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Proboscia sp,8,S05A,,Odondetella aurita,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,4
Protoperidinium sp 1,1,S05A,,Odondetlla aurita,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
Pseudonitzschia sp,3,S05A,,Odontella aurita,,,,,,,,1,4,2,,,,1,2,3,1,10,10,,7,1,,,,,,3,1,,,,9,,55
Pyrophacus sp,1,S05A,,Odontella sp,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Rhizosolenia bergonii,1,S05A,,Ornitocercus sp,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
Rhizosolenia imbricata,6,S05A,,Ornitocercus stenii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
Skeletonema costatum,104,S05A,,Ornitocercus thumii,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,3
Skeletonema tropicum,57,S05A,,Phaeodactylum (?),,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,6
Stephanopyxis turris,2,S05A,,Phalachorma mitra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
Thallassionema nitzschioides,1,S05A,,Phalacorma sp,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Trieres chinenensis,13,S05A,,Phalacroma rapa,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,3
Tripos declinatum,2,S05A,,Phalacroma sp,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2
Tripos eugrammus,2,S05A,,Plagiotropis sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
Tripos sp,2,S05A,,Planftoniella muriformis,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77
Bacteriastrum furcatum,1,S04A,,Planktoniella muriformis,,,,,,,,,,,248,,,,,,,,,,,,,,,,,,,,,,,,248
