Codigo,ID,Transecto,No.Estacion,Sector,Estacion,latitud,longitud,Fecha,Hora,Marea,NO2,NO3,PO4,SiO2,Clorofila,Conductividad,Salinidad,pH,OD,Transparencia,SST,Temperatura_Sup,Salinidad_Sup,Densidad_Sup,Temperatura_mean,Salinidad_mean,Oxigeno_mean,Densidad_mean,Temperatura_sd,Salinidad_sd,Oxigeno_sd,Densidad_sd,Temperatura_min,Salinidad_min,Oxigeno_min,Densidad_min,Temperatura_max,Salinidad_max,Oxigeno_max,Densidad_max,Profundidad_max
S01B,26,Sanquianga,1,Oceanico,S01,2.832936,-78.319656,4/05/2021,16:03:00,Baja,0.06,0.19,0.09,6.86,0.81,44.7,28.5,8.22,7.05,8.5,18.12,26.9163,0.3501,996.9767,23.47327386,33.29877386,4.444955114,1022.630079,3.769142039,2.839183859,0.741787059,2.92904266,18.3221,0.3501,3.334,996.9767,27.9305,35.147,6.5277,1025.4804,88.5
S02A,27,Sanquianga,2,Oceanico,S02,2.800405,-78.319592,4/05/2021,9:33:00,Alta,0.07,0.6,0.1,10.95,1.07,47.9,30.8,8.21,7.37,5,19.95,27.4268,25.476,1015.4554,22.90127838,33.43121007,4.326357042,1022.871029,3.849546838,1.74850417,0.74365794,2.416877693,18.1,25.476,3.0756,1015.4554,27.864,35.1246,5.7919,1025.4836,75
S02B,28,Sanquianga,2,Oceanico,S02,2.800405,-78.319592,4/05/2021,15:40:00,Baja,0.07,0.36,0.06,10.04,0.84,44.4,28.2,8.17,6.93,6,31.3,28.3921,19.4762,1010.6995,24.91419167,32.89403194,4.820337956,1021.864644,3.342000152,1.744810509,0.693626501,2.210266806,18.8681,19.4762,3.6215,1010.6995,28.3921,35.0313,6.6182,1025.4028,72.5
S03A,29,Sanquianga,3,Oceanico,S03,2.767854,-78.319562,30/04/2021,7:05:00,Alta,0.11,0.64,0.19,10.77,0.75,46.7,30,8.19,7.04,2.5,27.15,25.6499,7.195,1002.5278,24.01287879,33.07607576,4.676005344,1022.241899,3.979607117,2.662574916,0.927338971,2.824265932,17.8308,7.195,2.8203,1002.5278,28.165,35.569,5.8524,1025.9971,66.5
S03B,30,Sanquianga,3,Oceanico,S03,2.767854,-78.319562,30/04/2021,12:40:00,Baja,0.45,1.21,0.36,27.28,1.23,43.5,27.7,8.12,6.29,0.9,35.8,25.7451,1.6371,998.3004,24.6816623,32.54890082,4.787365,1021.655186,3.41437071,3.451357408,0.704555694,3.200509841,18.5373,1.6371,3.409,998.3004,28.0679,35.0429,5.6013,1025.2475,61.5
S04A,31,Sanquianga,4,Costero,S04,2.735304,-78.319532,30/04/2021,6:38:00,Alta,0.09,0.87,0.33,12.67,0.73,46.6,30,8.16,6.85,2.5,22.6,26.9841,24.4799,1014.9614,27.87352444,31.65571333,5.35474186,1019.975253,0.206372509,1.367542198,0.276951373,0.972478018,26.9841,24.4799,4.5903,1014.9614,28.0211,32.3741,5.7893,1020.6126,23
S04B,32,Sanquianga,4,Costero,S04,2.735304,-78.319532,30/04/2021,11:59:00,Baja,0.69,2.17,0.35,42.35,2.39,39.4,24.8,8.1,5.91,0.75,42.1,27.6442,26.1703,1015.8712,27.75550769,29.70898718,4.970117647,1018.546723,0.13162472,2.516978477,0.527236406,1.86900587,27.4932,24.5891,4.0439,1014.7458,27.8565,31.9357,5.5177,1020.2267,20
S05A,33,Sanquianga,5,Costero,S05,2.702753,-78.319502,29/04/2021,17:09:00,Alta,0.06,0.53,0.14,9.41,1.14,42.6,27.2,8.12,6.7,2.5,77.75,27.7903,8.4429,1002.6861,27.91612381,30.45536667,5.273404762,1019.028724,0.176853182,5.131641833,0.328632686,3.819931257,27.5358,8.4429,4.3597,1002.6861,28.1276,32.4692,5.5268,1020.6896,11
S05B,34,Sanquianga,5,Costero,S05,2.702753,-78.319502,29/04/2021,11:18:00,Baja,0.84,1.49,0.91,45.98,3.64,37.5,23.6,8.04,5.6,1,87.55,26.4223,4.3041,1000.0697,27.39166875,25.5832375,4.208971429,1015.559313,0.281629503,5.914030589,0.361813465,4.307802282,26.4223,4.3041,3.7573,1000.0697,27.5724,28.746,5.1118,1017.8724,8.5
S06A,35,Sanquianga,6,Costero,S06,2.670203,-78.319473,29/04/2021,16:23:00,Alta,0.25,2.28,0.25,44.44,1.57,38.3,24.1,8.03,6.12,2.5,160.97,27.64,10.6847,1004.4749,28.1474125,26.67130833,4.8573375,1016.1364,0.117624256,3.812832633,0.278382241,2.794813621,27.64,10.6847,4.3428,1004.4749,28.2108,30.0411,5.5511,1018.6515,12.5
S06B,36,Sanquianga,6,Costero,S06,2.670203,-78.319473,29/04/2021,10:33:00,Baja,0.73,2.46,0.47,44.98,4.99,35.7,22.3,8.02,5.41,1,188.05,25.4704,0.4015,997.4123,27.36917586,23.5722931,4.281961538,1014.083779,0.43195572,5.613536332,0.30611737,4.018738523,25.4704,0.4015,3.7045,997.4123,27.5943,27.0294,4.5668,1016.6084,15
