Codigo,ID,Transecto,No.Estacion,Sector,Estacion,latitud,longitud,Fecha,Hora,Marea,NO2,NO3,PO4,SiO2,Clorofila,Conductividad,Salinidad,pH,OD,Transparencia,SST,TSI_Clor,TSI_SECCHI,Temperatura_mean,Salinidad_mean,Densidad_mean,Profundidad_mean,Temperatura_sd,Salinidad_sd,Densidad_sd,Profundidad_sd,Temperatura_min,Salinidad_min,Densidad_min,Temperatura_max,Salinidad_max,Densidad_max,Profundidad_max
S01B,26,Sanquianga,1,Oceanico,S01,2.832936,-78.319656,04/05/2021,16:03:00,Baja,0.06,0.19,0.09,6.86,0.81,44.7,28.5,8.22,7.05,8.5,18.12,29,29,23.31639976,33.69189226,1022.9928,43.97954007,3.805619055,1.302728719,2.171761495,25.40249779,18.12256557,30.01941326,1018.67038,27.95894422,35.05614439,1025.66695,87.81969414
S02A,27,Sanquianga,2,Oceanico,S02,2.800405,-78.319592,04/05/2021,9:33:00,Alta,0.07,0.6,0.1,10.95,1.07,47.9,30.8,8.21,7.37,5,19.95,31,37,22.61462022,33.73243318,1023.194529,37.82026055,3.935484469,1.521190418,2.318808603,21.84613599,17.87510681,28.81922073,1017.911543,27.76846886,35.0847313,1025.697757,75.32179292
S02B,28,Sanquianga,2,Oceanico,S02,2.800405,-78.319592,04/05/2021,15:40:00,Baja,0.07,0.36,0.06,10.04,0.84,44.4,28.2,8.17,6.93,6,31.3,29,34,24.64351939,33.23872582,1022.237724,36.50033103,3.413340483,1.46719802,2.105383441,21.09471637,18.63467205,23.88170247,1013.971227,28.28657341,35.02795135,1025.455768,72.90723596
S03A,29,Sanquianga,3,Oceanico,S03,2.767854,-78.319562,30/04/2021,7:05:00,Alta,0.11,0.64,0.19,10.77,0.75,46.7,30,8.19,7.04,2.5,27.15,28,47,23.8438249,33.47150602,1022.61712,33.03568093,4.07000365,1.381609573,2.254728342,19.09323425,17.5820713,30.17759315,1018.902946,28.08285427,35.07854504,1025.724019,65.82559846
S03B,30,Sanquianga,3,Oceanico,S03,2.767854,-78.319562,30/04/2021,12:40:00,Baja,0.45,1.21,0.36,27.28,1.23,43.5,27.7,8.12,6.29,0.9,35.8,33,62,24.5119643,33.05613307,1022.112273,30.8006162,3.540121538,1.893442981,2.385600856,17.80215961,18.41142714,24.96526772,1015.042057,28.01304348,34.94557069,1025.398672,61.4267758
S04A,31,Sanquianga,4,Costero,S04,2.735304,-78.319532,30/04/2021,6:38:00,Alta,0.09,0.87,0.33,12.67,0.73,46.6,30,8.16,6.85,2.5,22.6,28,47,27.77503205,32.02395864,1020.283562,11.72532309,0.091166928,0.743171963,0.566517614,6.808331255,27.54236398,29.60022297,1018.464061,27.85757653,32.53387687,1020.765322,23.14872173
S04B,32,Sanquianga,4,Costero,S04,2.735304,-78.319532,30/04/2021,11:59:00,Baja,0.69,2.17,0.35,42.35,2.39,39.4,24.8,8.1,5.91,0.75,42.1,39,64,27.66597183,30.35145411,1019.059682,10.84454503,0.083574117,2.235093892,1.673595372,6.296870081,27.44981901,24.5183188,1014.708267,27.72813808,32.11472024,1020.405202,21.50271144
S05A,33,Sanquianga,5,Costero,S05,2.702753,-78.319502,29/04/2021,17:09:00,Alta,0.06,0.53,0.14,9.41,1.14,42.6,27.2,8.12,6.7,2.5,77.75,32,47,27.81999926,31.9207413,1020.163915,5.259455389,0.19236052,0.783564386,0.651369388,3.073941355,27.37139511,30.13997254,1018.71111,28.11364428,32.66393399,1020.887314,10.23459994
S05B,34,Sanquianga,5,Costero,S05,2.702753,-78.319502,29/04/2021,11:18:00,Baja,0.84,1.49,0.91,45.98,3.64,37.5,23.6,8.04,5.6,1,87.55,43,60,27.45874855,27.2376153,1016.758694,3.620849977,0.053537099,1.849918617,1.391745632,2.129556034,27.38351255,23.58852226,1013.961649,27.61649322,28.90236303,1018.012753,7.043734305
S06A,35,Sanquianga,6,Costero,S06,2.670203,-78.319473,29/04/2021,16:23:00,Alta,0.25,2.28,0.25,44.44,1.57,38.3,24.1,8.03,6.12,2.5,160.97,35,47,27.94162197,29.06041216,1017.987105,6.784303169,0.130521214,2.933914089,2.240305843,3.951272866,27.7364948,22.17183292,1012.737739,28.16046421,31.06656205,1019.536006,13.29698791
S06B,36,Sanquianga,6,Costero,S06,2.670203,-78.319473,29/04/2021,10:33:00,Baja,0.73,2.46,0.47,44.98,4.99,35.7,22.3,8.02,5.41,1,188.05,46,60,27.47857728,25.07970491,1015.154609,8.009444506,0.029249547,1.418924556,1.078611156,4.662095076,27.44820997,22.23003544,1012.960412,27.56872554,27.19395913,1016.757842,15.73283784
