"PC01","PC02","PC03","PC04","PC05","PC06","PC07","PC08","PC09","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30"
"A06A",2.70224367670089,1.91153453896797,-1.14681971775455,-0.249686529360258,-3.35185411823634,0.00779516558232582,-0.272214539770806,0.562227135316599,0.526584262536624,-0.229855641968483,-0.0629717113999513,-0.108401063247656,-0.0724647058639817,0.139435547251159,-0.498642654216397,0.321005165658951,-0.246720295685276,0.0028453375378556,0.10693991573311,0.161447755089231,0.0127823089062622,-0.15839903509093,-0.0289337687434453,0.056170300809714,-0.0229249283502472,0.00228084844835977,0.0173086564370241,-0.00670736227530348,-0.00508312707350485,-0.000208962932411617
"A06B",3.41960950466054,2.22383416105308,-0.509574437882538,-0.287541886706923,-3.65325112278374,-0.743537736115407,1.03918522323087,0.697969771371291,0.846738449663087,0.163009296711121,0.147306966267478,0.228947917785304,0.165242468879022,-0.387943899728881,0.257676498577928,0.0575485256417385,0.0528908789236646,-0.116328134886084,0.0335483115234735,0.0311760239727392,0.0419302614976003,0.110518022214524,0.0801585206253583,-0.0944864240057443,0.0704705490289499,-0.0161242415224189,-0.0050198711299624,0.00252008157791885,0.000168065354314661,0.00103035536924024
"G01A",-4.8352016121679,0.271230701917613,0.0241110162537772,-1.2641825653675,0.204488163615843,-0.495484695517268,-0.0473747236706763,0.116288841407511,0.0135134650535939,-1.08070747710463,-0.553276740532731,0.326067703520533,0.285668510929929,0.0339678539610003,0.123046955867246,0.560918536787142,-0.363378825993588,0.106862841991467,-0.118003958182925,-0.370339335376469,-0.0831407886528207,-0.000468721000498162,0.08934078416698,-0.00577050039082772,0.00481147115544195,-0.0142231678155484,0.00211493993764851,0.00296547408464544,0.0011820059072678,-0.000599013136569702
"G01B",-3.16816157658537,-3.19920151038955,0.333363325853989,-1.28448033406647,-0.419975893436301,1.1617845355173,0.626958938740089,0.0591691913634919,0.669742932693687,-0.40044446050336,-0.181157209411243,0.382657141498439,0.106103323737426,0.869856823225211,0.0955273225040387,-0.0236460470129993,0.201720494036391,-0.0159930540879394,-0.0409785605840526,-0.10910352884327,-0.0459058490956982,0.126940599382949,-0.102091172455028,-0.0326674004473954,-0.00444079277430587,0.00999045803615151,-0.00375898769014218,-0.00475347259450967,0.00077027478477636,0.000936924548947761
"G02A",-3.64924037366764,0.723658300758784,8.59165745142778,3.88078383794087,-1.71549082813679,-0.415713027015273,0.0626682536751127,-0.245995704319697,-0.0757061021305229,-0.125281729524348,0.18486010956387,0.0622544024804445,0.0643935686983065,-0.0046430055898071,0.0037418297993595,-0.0495917207631794,0.012272339290266,-0.00595775607556442,-0.00975337622393616,-0.00198756324873417,0.0117821178694366,-0.00888717021407115,-0.00556474265635684,0.00458953124047809,-0.0161494922810722,0.00408183487674718,0.0017098145438099,-0.000359432652260001,-0.000106448735658388,-1.43568118499138e-06
"G02B",-1.62634283105173,-2.43765385610455,0.325699785237608,-1.07559105056032,-0.385850630899485,1.95283415768315,0.226400669534508,-0.780351137401712,0.259284719948057,0.0252915347192676,-0.155886839771173,0.222670468179179,0.0521368209051587,0.20451481375434,-0.020290159017186,-0.0544554110680159,0.0124661578660775,-0.181796711758844,0.132137535958567,0.159874871435385,-0.0580085518694173,-0.0585445130590695,0.135275609919571,0.0782797475386398,0.0431476354876509,0.0311795811079221,0.0113560943113409,0.00609904409839006,0.00245473050146936,0.000410729795096241
"G03A",-3.35495037695612,1.02002267967112,0.00735209892975659,-0.693469348819035,0.205821401948759,-0.0831546543180846,-0.531961719202102,-0.610014493842441,-0.648511215099513,0.00290096021093941,-0.422715642730783,-0.0717686647087857,0.108337956417719,-0.454488267109166,-0.502233800651581,-0.0963912609902561,0.214733981319666,0.283489204847334,0.176317254315779,0.170453694638296,-0.157358793712829,0.147151439035671,0.128983025696079,0.00854095263176731,0.0172157336019974,-0.0109693246144029,-0.00267838847059561,-0.00616111011577741,0.00158005243534388,-0.00118019576000739
"G03B",-0.552500666655527,-0.206759346275667,0.0923564320283478,-0.32120745506155,0.33745425757087,1.94030585721507,-0.20183885988417,-1.12764247704523,-0.462388465351592,-0.142099190832877,-0.509045569587735,-0.400904380357636,-0.0983854654413504,0.11763727396765,-0.0809165861346194,-0.0271528766253999,0.0356446718505209,-0.0460280457058567,0.310813985854429,-0.113444482661258,0.0844698823777908,-0.0775163606335193,-0.0365639515116785,-0.0671339241449314,0.0207588337110543,-0.012506550993754,-0.00633587717822628,0.00156391939694591,-0.00373837900711985,0.000896992323519689
"G04A",-0.605193757706707,1.44197888554902,-1.01903008392192,2.36000076973083,2.88404940237907,-0.242411061875307,-0.211068080190125,0.366920728913585,0.559126222611257,-0.441161295577956,0.289012004706714,0.966206245895635,-0.218190681480376,-0.406726253029687,-0.00784548044842048,-0.0726758127211392,-0.000862855655908323,0.102277705904533,0.269563859205862,0.0389761655275252,0.0239572765159802,0.0324750535479864,-0.0944600384545315,0.00314647439391699,0.0306985325196049,0.00173269391921449,-0.00479304737636339,-0.0054207261022353,-0.00112847561239152,0.00141346187919689
"G04B",7.21730543618763,1.35692149270921,2.39725183650703,-3.39909530461807,1.52555423366276,-0.0622017864807198,1.03391281622466,0.498871387875972,0.0310676096936182,0.0966318667006447,0.039835229440459,0.415104607981584,0.0195187122318721,0.186686462065795,-0.0727816860534691,-0.0358280585572192,-0.0521721301337417,-0.132263243015894,0.0611710604259525,0.0268321761446876,0.160531879306732,0.083190962392534,0.0990978243836144,0.0283007906897088,-0.0127440159956145,0.0116168072772371,-0.0271005156125288,-0.000574041763003285,-0.00214357990715454,-0.00100636888849534
"G05A",0.643984923318555,2.07217327197525,-1.00420034980432,1.83141222000065,1.77079564056611,0.470453930081355,0.0824192985193566,0.0784792558688247,0.493761296168918,-0.90216867319544,-0.127696726168528,0.0382268428671794,-0.14939550191439,-0.221562835748812,-0.291380598302621,-0.449086376157386,-0.158875683516522,-0.0710143043932245,-0.124836152997052,-0.10661298069433,0.220730543843302,-0.0373716491992393,0.0307090768588857,-0.0417110675786216,-0.0123913438718498,0.0260924874713982,0.0121367432029831,0.0093704509142407,0.00119106184307535,-0.00131955043881113
