"","A01A","A01B","A02A","A02B","A03A","A03B","A04A","A04B","A05A","A05B","A06A","A06B","G01A","G01B","G02A","G02B","G03A","G03B","G04A","G04B","G05A","G05B","G06A","G06B","S01A","S01B","S02A","S02B","S03A","S03B","S04A","S04B","S05A","S05B","S06A","S06B"
"A06A",0.400006500471284,0.374997949845008,0.250034064586456,0.217385295743505,0.538475658257021,0.315787944807553,0.217385295743505,0.285745641540198,1,1,0,0.0869589516922658,0.188813425669023,0.230773947299845,0.225801712558764,0.510217579710806,0.211571885354719,0.21191986648656,0.217385295743505,0.480316199914705,0.217385295743505,0.217385295743505,0.875006867754519,0.26027067619261,0.217385295743505,0.445380135031311,0.217385295743505,0.639349871685201,0.217385295743505,0.333343703818931,0.499976254927103,0.500049529470035,0.333333333333333,0.799985944198468,0.800027860973741,0.959677439224198
"A06B",0.400006500471284,0.374997949845008,0.250034064586456,0.217377240085398,0.538475658257021,0.315787944807553,0.217377240085398,0.285745641540198,1,1,0.0869589516922658,0,0.188805370010917,0.205128991216641,0.225801712558764,0.510217579710806,0.205750419307827,0.211911810828453,0.217377240085398,0.480316199914705,0.203191645651185,0.217377240085398,0.875006867754519,0.287670209852879,0.202882990952592,0.445380135031311,0.197774658936567,0.639349871685201,0.217377240085398,0.333343703818931,0.456500806910023,0.500049529470035,0.333333333333333,0.799985944198468,0.800027860973741,0.959677439224198
"G01A",0.400006500471284,0.374997949845008,0.250034064586456,0.2,0.538475658257021,0.315787944807553,0.171431220446889,0.285745641540198,0.971428129925518,0.971428129925519,0.188813425669023,0.188805370010917,0,0.153854407774729,0.168657972409801,0.489805227386763,0.113789184657517,0.137393921115463,0.171431220446889,0.480316199914706,0.135969792167782,0.191921456676751,0.804770620264877,0.273970443022745,0.171431220446889,0.445380135031311,0.171431220446889,0.639349871685201,0.156618866641399,0.333343703818931,0.471404384852621,0.500049529470035,0.333333333333333,0.799985944198468,0.771455990899259,0.959677439224198
"G01B",0.400006500471284,0.349352993761804,0.256418903383049,0.230773947299845,0.538475658257021,0.290142988724348,0.25641890338305,0.285745641540198,1,0.923080460474884,0.230773947299845,0.205128991216641,0.153854407774729,0,0.230773947299845,0.46939287506272,0.22496053691106,0.192522032116,0.230773947299845,0.403396660389589,0.220957475103942,0.169788456034056,0.807697534256154,0.24832548693954,0.25641890338305,0.394105551589399,0.25641890338305,0.571678007616573,0.256418903383049,0.307698747735727,0.474331298843898,0.397485033861714,0.333333333333333,0.774340988115264,0.800027860973741,0.935485381039083
"G02A",0.400006500471284,0.374997949845008,0.250034064586456,0.225801712558764,0.538475658257021,0.315787944807553,0.225801712558764,0.285745641540198,1,1,0.225801712558764,0.225801712558764,0.168657972409801,0.230773947299845,0,0.387754869315331,0.187730914661584,0.188078895793424,0.198025750203363,0.464567129018501,0.193544325050369,0.200547975182475,0.875006867754519,0.287670209852879,0.196813214293153,0.428572041736951,0.193544325050369,0.607092484176806,0.225801712558764,0.333343703818931,0.435461479910313,0.435534754453245,0.333333333333333,0.799985944198468,0.800027860973741,0.959677439224198
"G02B",0.510217579710806,0.510217579710806,0.510217579710806,0.510217579710806,0.538475658257021,0.510217579710806,0.510217579710806,0.462588080149788,1,0.959186698900698,0.510217579710806,0.510217579710806,0.489805227386763,0.46939287506272,0.387754869315331,0,0.483991816997977,0.429694639982522,0.489805227386763,0.351291323959893,0.489805227386763,0.489805227386763,0.854594515430476,0.482818046050537,0.489805227386763,0.343352163221111,0.489805227386763,0.618937519361158,0.510217579710806,0.473179390397592,0.469404278611504,0.469404278611504,0.510217579710806,0.799985944198468,0.800027860973741,0.918864138124896
"G03A",0.400006500471284,0.374997949845008,0.250034064586456,0.2,0.52684883747945,0.304161124029982,0.117647058823529,0.285745641540198,0.976743244673895,0.976743244673895,0.211571885354719,0.205750419307827,0.113789184657517,0.22496053691106,0.187730914661584,0.483991816997977,0,0.0874316440741958,0.093020793762494,0.480316199914705,0.108943058493966,0.206312299349551,0.834309881262058,0.270229978686523,0.0872073833737086,0.445380135031311,0.139404814516074,0.62772305090763,0.161933981389776,0.333343703818931,0.470906089212212,0.494236119081249,0.333333333333333,0.799985944198468,0.776771105647636,0.959677439224198
"G03B",0.400006500471284,0.353139277624613,0.250034064586456,0.178141327779605,0.527547844550516,0.283001458880652,0.147542231478437,0.252959155613298,1,0.945354841852705,0.21191986648656,0.211911810828453,0.137393921115463,0.192522032116,0.188078895793424,0.429694639982522,0.0874316440741958,0,0.125683559258041,0.392884555840509,0.13498656281081,0.185630340244093,0.858613624791069,0.227559622448638,0.147542231478437,0.379807163177511,0.145917231975926,0.601096963645475,0.185190736715881,0.278698545671636,0.494510825670157,0.461797614286189,0.333333333333333,0.799985944198468,0.800027860973741,0.921690728213726
"G04A",0.400006500471284,0.347221987489607,0.250034064586456,0.172224037644598,0.538475658257021,0.288011982452151,0.117647058823529,0.285745641540198,1,0.972224037644598,0.217385295743505,0.217377240085398,0.171431220446889,0.230773947299845,0.198025750203363,0.489805227386763,0.093020793762494,0.125683559258041,0,0.428916631214997,0.099874819868882,0.196970940991455,0.861114218347851,0.259894247497477,0.0555612611687378,0.428572041736951,0.156845045682431,0.622952591058485,0.185190736715881,0.30556774146353,0.486083605520435,0.472273567114633,0.333333333333333,0.799985944198468,0.786135211567073,0.929656751027454
"G04B",0.480316199914705,0.438657050483008,0.480316199914705,0.430313010935816,0.538475658257021,0.425199528847911,0.480316199914705,0.432686700353687,1,0.645671290185009,0.480316199914705,0.480316199914705,0.480316199914706,0.403396660389589,0.464567129018501,0.351291323959893,0.480316199914705,0.392884555840509,0.428916631214997,0,0.472441664466603,0.367850189628506,0.875006867754519,0.39812589679388,0.464567129018501,0.0629912065148962,0.480316199914705,0.52846324275118,0.480316199914705,0.388161339534697,0.499976254927103,0.350443510095936,0.480316199914705,0.799985944198468,0.792153325525639,0.730952174545127
"G05A",0.392916261060603,0.367907710434327,0.250034064586456,0.2,0.53138541884634,0.308697705396871,0.127660118682218,0.285745641540198,1,1,0.217385295743505,0.203191645651185,0.135969792167782,0.220957475103942,0.193544325050369,0.489805227386763,0.108943058493966,0.13498656281081,0.099874819868882,0.472441664466603,0,0.146466624140261,0.818269605630517,0.266880203612063,0.113474524248005,0.445380135031311,0.0930175441477469,0.589707964584731,0.185190736715881,0.333343703818931,0.485790660492889,0.500049529470035,0.333333333333333,0.799985944198468,0.785842266539528,0.945491844789985
"G05B",0.39495701615658,0.359846338999512,0.250034064586456,0.207073067522247,0.533426173942318,0.300636333962056,0.21717519405304,0.285745641540198,1,0.853533375859739,0.217385295743505,0.217377240085398,0.191921456676751,0.169788456034056,0.200547975182475,0.489805227386763,0.206312299349551,0.185630340244093,0.196970940991455,0.367850189628506,0.146466624140261,0,0.844703646063526,0.258818832177248,0.21717519405304,0.344540159582459,0.181822488047343,0.457530541539243,0.21717519405304,0.323241577288139,0.499976254927103,0.364935020571733,0.333333333333333,0.799985944198468,0.789925734442949,0.939473186162613
"G06A",0.875006867754519,0.875006867754519,0.625002289251506,0.850005273265075,0.413462130751398,0.717112895350743,0.875006867754519,0.875006867754519,0.833324176327308,0.950004060309125,0.875006867754519,0.875006867754519,0.804770620264877,0.807697534256154,0.875006867754519,0.854594515430476,0.834309881262058,0.858613624791069,0.861114218347851,0.875006867754519,0.818269605630517,0.844703646063526,0,0.696926494682734,0.875006867754519,0.875006867754519,0.855404286605688,0.858609587127803,0.76389242572499,0.875006867754519,0.666684049192423,0.875006867754519,0.875006867754519,0.875006867754519,0.708331044081827,0.959677439224198
"G06B",0.400006500471284,0.333338800413311,0.205479906732054,0.212665426384546,0.374095052015371,0.10310320294322,0.287670209852879,0.287670209852879,1,0.917809696879175,0.26027067619261,0.287670209852879,0.273970443022745,0.24832548693954,0.287670209852879,0.482818046050537,0.270229978686523,0.227559622448638,0.259894247497477,0.39812589679388,0.266880203612063,0.258818832177248,0.696926494682734,0,0.287670209852879,0.417980601371042,0.273970443022745,0.60925282422835,0.287670209852879,0.278552934358375,0.499976254927103,0.445258760009479,0.333333333333333,0.799985944198468,0.800027860973741,0.916149866773853
"S01A",0.400006500471284,0.374997949845008,0.250034064586456,0.2,0.538475658257021,0.315787944807553,0.117647058823529,0.285745641540198,1,1,0.217385295743505,0.202882990952592,0.171431220446889,0.25641890338305,0.196813214293153,0.489805227386763,0.0872073833737086,0.147542231478437,0.0555612611687378,0.464567129018501,0.113474524248005,0.21717519405304,0.875006867754519,0.287670209852879,0,0.428572041736951,0.142350796549625,0.639349871685201,0.185190736715881,0.333343703818931,0.499976254927103,0.500049529470035,0.333333333333333,0.799985944198468,0.800027860973741,0.959677439224199
"S01B",0.445380135031311,0.445380135031311,0.445380135031311,0.445380135031311,0.538475658257021,0.445380135031311,0.445380135031311,0.397750635470293,1,0.680671980359082,0.445380135031311,0.445380135031311,0.445380135031311,0.394105551589399,0.428572041736951,0.343352163221111,0.445380135031311,0.379807163177511,0.428572041736951,0.0629912065148962,0.445380135031311,0.344540159582459,0.875006867754519,0.417980601371042,0.428572041736951,0,0.445380135031311,0.538509896236348,0.445380135031311,0.408341945718097,0.499976254927103,0.399209554021182,0.445380135031311,0.799985944198468,0.800027860973741,0.741189395032133
"S02A",0.380403919322453,0.355395368696177,0.250034064586456,0.2,0.51887307710819,0.302628903413217,0.156845045682431,0.285745641540198,1,1,0.217385295743505,0.197774658936567,0.171431220446889,0.25641890338305,0.193544325050369,0.489805227386763,0.139404814516074,0.145917231975926,0.156845045682431,0.480316199914705,0.0930175441477469,0.181822488047343,0.855404286605688,0.273970443022745,0.142350796549625,0.445380135031311,0,0.524586916392778,0.185190736715881,0.333343703818931,0.499976254927103,0.500049529470035,0.333333333333334,0.799985944198468,0.800027860973741,0.959677439224198
"S02B",0.622952591058485,0.606555310431768,0.639349871685201,0.557381477646211,0.622952591058485,0.609793549664149,0.639349871685201,0.573778758272928,1,0.783591891882284,0.639349871685201,0.639349871685201,0.639349871685201,0.571678007616573,0.607092484176806,0.618937519361158,0.62772305090763,0.601096963645475,0.622952591058485,0.52846324275118,0.589707964584731,0.457530541539243,0.858609587127803,0.60925282422835,0.639349871685201,0.538509896236348,0.524586916392778,0,0.639349871685201,0.557381477646211,0.639349871685201,0.497940208690976,0.639349871685201,0.799985944198468,0.800027860973741,0.943549400434122
"S03A",0.362968353128108,0.337959802501832,0.250034064586456,0.2,0.538475658257021,0.315787944807553,0.111114442029529,0.211669346853846,0.888885557970472,0.950004060309125,0.217385295743505,0.217377240085398,0.156618866641399,0.256418903383049,0.225801712558764,0.510217579710806,0.161933981389776,0.185190736715881,0.185190736715881,0.480316199914705,0.185190736715881,0.21717519405304,0.76389242572499,0.287670209852879,0.185190736715881,0.445380135031311,0.185190736715881,0.639349871685201,0,0.259267409132579,0.388861812897574,0.500049529470035,0.333333333333333,0.799985944198468,0.688913418944213,0.959677439224199
"S03B",0.36296831115807,0.296300611100097,0.333343703818931,0.172225946900399,0.538475658257021,0.222229135879288,0.259267325192502,0.111114567939644,1,0.90000812061825,0.333343703818931,0.333343703818931,0.333343703818931,0.307698747735727,0.333343703818931,0.473179390397592,0.333343703818931,0.278698545671636,0.30556774146353,0.388161339534697,0.333343703818931,0.323241577288139,0.875006867754519,0.278552934358375,0.333343703818931,0.408341945718097,0.333343703818931,0.557381477646211,0.259267409132579,0,0.499976254927103,0.388934961530391,0.333343703818931,0.799985944198468,0.800027860973741,0.943549400434122
"S04A",0.499976254927103,0.499976254927103,0.499976254927103,0.499976254927103,0.538475658257021,0.499976254927103,0.499976254927103,0.499976254927103,0.875005936268224,0.950004060309125,0.499976254927103,0.456500806910023,0.471404384852621,0.474331298843898,0.435461479910313,0.469404278611504,0.470906089212212,0.494510825670157,0.486083605520435,0.499976254927103,0.485790660492889,0.499976254927103,0.666684049192423,0.499976254927103,0.499976254927103,0.499976254927103,0.499976254927103,0.639349871685201,0.388861812897574,0.499976254927103,0,0.375055465738259,0.499976254927103,0.799985944198468,0.675033797241965,0.959677439224199
