"","MDS1","MDS2","MDS3"
"Thalassionema",0.0301438957402056,-0.243277436248471,-0.388081812122525
"Thalassionema.frauenfeldii",0.0365108078863134,-0.41997238187819,-0.129027318134186
"Thalassionema.nitzschioides.pseudonitzschioides",-0.452808829050773,0.00772170900828804,0.0660589479576963
"Thalassiosira",-0.097800426197748,-0.047557574567297,-0.211709300938507
"Trieres.chinensis",0.00950041603982115,-0.347923034998115,-0.0920129316355886
"Trieres.mobiliensis",0.00611299543437574,-0.403339505503627,0.360253908311129
"Tripos",0.309840822853755,0.21963900096911,-0.180310433155958
"Tripos.arietinus",0.0908369170410723,-0.158160917627071,-0.045343244306028
"Tripos.brevis",0.1684424126295,0.16518658951058,-0.181778831301371
"Tripos.candelabrum",-0.238305685110689,-0.0976800171390853,0.123826929293707
"Tripos.declinatum",-0.503055472791372,0.318625673285632,0.320515857289561
"Tripos.eugrammus",-0.21242408349187,-0.261394134720039,0.025952481578824
"Tripos.extensus",0.0817672828818245,0.102466748897013,0.209028013910312
"Tripos.fusus",-0.0439790061173499,0.124804772853815,0.156534371744851
"Tripos.karstenii",-0.212767611947325,-0.12289266127385,-0.172948666218477
"Tripos.lunula",-0.0665919892058274,-0.0493431214782682,-0.289915368264626
"Tripos.macroceros",-0.25239270113806,0.00717915150358903,-0.308421281043057
"Tripos.massiliensis",-0.0957105319117865,0.0309771646500749,-0.322795544330086
"Tripos.muelleri",-0.221193193464185,0.111782701846556,-0.414561487663849
"Tripos.pentagonus",0.104896619909412,0.208260701346232,0.0754850845843363
"Tripos.teres",0.107168494402286,0.167464877816777,-0.0552389173670588
"Tripos.trichoceros",0.0364224075979111,-0.0873530293653769,0.0910442190066394
"Tripos.vultur",0.104896619909412,0.208260701346232,0.0754850845843363
