"Assemblage","t","Method","Order.q","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"Amarales",44,"Extrapolation",0,97.3611874846804,81.0204156742574,113.701959295103,0.994294008338555,0.983146844644379,1
"Amarales",45,"Extrapolation",0,97.4838663054015,80.9463474866829,114.02138512412,0.994769507643675,0.984106401777929,1
"Amarales",46,"Extrapolation",0,97.5963218910624,80.8708047136964,114.321839068428,0.995205382006702,0.985005705018628,1
"Amarales",47,"Extrapolation",0,97.6994061779183,80.7942875202279,114.604524835609,0.995604933506144,0.985848822844021,1
"Amarales",48,"Extrapolation",0,97.7939001075363,80.7172324993016,114.870567715771,0.995971189047298,0.986639543488942,1
"Amarales",49,"Extrapolation",0,97.8805195430193,80.6400196912631,115.121019394776,0.996306923293357,0.987381392734828,1
"Amarales",50,"Extrapolation",0,97.9599206922122,80.5629788252829,115.356862559141,0.996614679685577,0.988077650974334,1
"Amarales",51,"Extrapolation",0,98.0327050789723,80.4863948753128,115.579015282632,0.996896789711779,0.988731369490986,1
"Amarales",52,"Extrapolation",0,98.099424100169,80.4105130106639,115.788335189674,0.997155390569131,0.989345385918567,1
"Amarales",53,"Extrapolation",0,98.1605832029327,80.3355430110836,115.985623394782,0.997392441355036,0.989922338864556,1
"Amarales",54,"Extrapolation",0,98.2166457137994,80.2616632073611,116.171628220238,0.997609737908783,0.990464681697174,1
"Amarales",55,"Extrapolation",0,98.2680363487606,80.1890240008818,116.347048696639,0.997808926416385,0.990974695507229,1
"Amarales",56,"Extrapolation",0,98.3151444308083,80.1177510089832,116.512537852633,0.997991515881686,0.991454501264711,1
"Amarales",57,"Extrapolation",0,98.3583268393521,80.0479478772931,116.668705801411,0.998158889558212,0.99190607119648,1
"Amarales",58,"Extrapolation",0,98.3979107138505,79.9796987953127,116.816122632388,0.998312315428361,0.992331239415887,1
"Amarales",59,"Extrapolation",0,98.4341959321408,79.9130707472454,116.955321117036,0.998452955809331,0.9927317118382,1
"Amarales",60,"Extrapolation",0,98.4674573822401,79.8481155263542,117.086799238126,0.998581876158554,0.993109075417505,1
"Amarales",61,"Extrapolation",0,98.4979470448312,79.7848715378988,117.211022551764,0.998700053145341,0.99346480674164,1
"Amarales",62,"Extrapolation",0,98.5258959022064,79.7233654128706,117.328426391542,0.998808382049896,0.993800280021892,1
"Amarales",63,"Extrapolation",0,98.5515156881336,79.6636134522705,117.439417923997,0.998907683545738,0.994116774513773,1
"Amarales",64,"Extrapolation",0,98.5750004919003,79.6056229194954,117.544378064305,0.998998709916926,0.994415481404408,1
"Amarales",65,"Extrapolation",0,98.5965282286864,79.5493931964914,117.643663260881,0.999082150757182,0.994697510200922,1
"Amarales",66,"Extrapolation",0,98.616261987407,79.4949168176425,117.737607157171,0.999158638194084,0.994963894652915,1
"Amarales",67,"Extrapolation",0,98.6343512662341,79.4421803938784,117.82652213859,0.99922875167791,0.995215598240615,1
"Amarales",68,"Extrapolation",0,98.6509331051591,79.3911654381669,117.910700772151,0.999293022371418,0.995453519258736,1
"Amarales",69,"Extrapolation",0,98.6661331241736,79.3418491023901,117.990417145957,0.9993519371738,0.995678495524462,1
"Amarales",70,"Extrapolation",0,98.6800664749369,79.2942048345687,118.065928115305,0.999405942409316,0.995891308736354,1
"Amarales",71,"Extrapolation",0,98.6928387131366,79.2482029644746,118.137474461799,0.99945544720854,0.99609268850935,1
"Amarales",72,"Extrapolation",0,98.704546598153,79.2038112248581,118.205281971448,0.999500826607828,0.996283316109479,1
"Amarales",73,"Extrapolation",0,98.7152788260847,79.1609952147755,118.269562437394,0.999542424390509,0.996463827910349,1
"Amarales",74,"Extrapolation",0,98.7251167016887,79.1197188108585,118.330514592519,0.9995805556913,0.996634818592028,1
"Amarales",75,"Extrapolation",0,98.7341347543258,79.0799445317756,118.388324976876,0.999615509383692,0.996796844101497,1
"Amarales",76,"Extrapolation",0,98.7424013025764,79.0416338606166,118.443168744536,0.999647550268384,0.996950424392555,1
"Amarales",77,"Extrapolation",0,98.7499789718062,79.0047475294601,118.495210414152,0.999676921079352,0.997096045961752,1
"Amarales",78,"Extrapolation",0,98.7569251686001,78.9692457699639,118.544604567236,0.999703844322739,0.997234164195767,1
"Amarales",79,"Extrapolation",0,98.7632925156612,78.9350885334403,118.591496497882,0.999728523962511,0.997365205544498,1
"Amarales",80,"Extrapolation",0,98.7691292504672,78.9022356835368,118.636022817398,0.999751146965635,0.997489569533094,1
"Amarales",81,"Extrapolation",0,98.7744795907061,78.8706471643404,118.678312017072,0.999771884718499,0.997607630625184,1
"Amarales",82,"Extrapolation",0,98.7793840692583,78.8402831464428,118.718484992074,0.999790894325291,0.997719739948614,1
"Amarales",83,"Extrapolation",0,98.7838798412646,78.8111041532614,118.756655529268,0.999808319798183,0.997826226894186,1
"Amarales",84,"Extrapolation",0,98.7880009656036,78.7830711696828,118.792930761524,0.999824293148335,0.997927400597054,1
"Amarales",85,"Extrapolation",0,98.7917786629145,78.7561457348961,118.827411590933,0.999838935385973,0.998023551309747,1
"Amarales",86,"Extrapolation",0,98.795241552116,78.7302900210989,118.860193083133,0.999852357437142,0.998114951675045,1
"Amarales",87,"Extrapolation",0,98.7984158672175,78.7054668995975,118.891364834837,0.999864660984047,0.998201857906365,1
"Amarales",88,"Extrapolation",0,98.8013256560605,78.6816399956695,118.921011316451,0.999875939235376,0.998284510882656,1
"Amarales",89,"Extrapolation",0,98.8039929624999,78.6587737334274,118.949212191572,0.999886277632428,0.99836313716433,1
"Amarales",90,"Extrapolation",0,98.8064379934027,78.6368333717957,118.97604261501,0.999895754496393,0.998437949936194,1
"Amarales",91,"Extrapolation",0,98.8086792717302,78.6157850326085,119.001573510852,0.999904441621693,0.998509149882929,1
"Amarales",92,"Extrapolation",0,98.8107337768638,78.5955957217311,119.025871831996,0.999912404819886,0.998576926002191,1
"Amarales",93,"Extrapolation",0,98.8126170732363,78.5762333440217,119.049000802451,0.999919704418228,0.998641456360065,1
"Amarales",94,"Extrapolation",0,98.8143434282443,78.5576667128682,119.07102014362,0.999926395716709,0.998702908793187,1
"Amarales",95,"Extrapolation",0,98.8159259203351,78.5398655549585,119.091986285712,0.999932529406984,0.998761441561542,1
"Amarales",96,"Extrapolation",0,98.8173765380849,78.5228005108798,119.11195256529,0.999938151956402,0.998817203955632,1
"Amarales",97,"Extrapolation",0,98.8187062710223,78.5064431320806,119.130969409964,0.999943305960035,0.998870336861422,1
"Amarales",98,"Extrapolation",0,98.8199251928816,78.490765874672,119.149084511091,0.999948030463365,0.998920973286185,1
"Amarales",99,"Extrapolation",0,98.8210425379192,78.4757420905011,119.166342985337,0.999952361258085,0.998969238848173,1
"Amarales",100,"Extrapolation",0,98.8220667708704,78.4613460158797,119.182787525861,0.999956331153244,0.999015252232763,1
"Sanquianga",1,"Rarefaction",0,30.5,28.4832459333741,32.5167540666259,0.456035767511177,0.419488446652379,0.492583088369975
"Sanquianga",2,"Rarefaction",0,47.0909090909091,44.0509646326491,50.1308535491691,0.623845007451566,0.588002742001487,0.659687272901645
"Sanquianga",3,"Rarefaction",0,58.5636363636364,54.6414923509404,62.4857803763324,0.706242755423084,0.672379561996871,0.740105948849297
"Sanquianga",4,"Rarefaction",0,67.5232323232323,62.8139275599047,72.23253708656,0.756102003642988,0.724017541539347,0.788186465746628
"Sanquianga",5,"Rarefaction",0,74.9621212121211,69.5189039081859,80.4053385160564,0.790362642821659,0.760122092855171,0.820603192788147
"Sanquianga",6,"Rarefaction",0,81.3560606060606,75.2185763427255,87.4935448693957,0.815656565656566,0.787291618125597,0.844021513187535
"Sanquianga",7,"Rarefaction",0,86.9785353535352,80.1876361449914,93.7694345620791,0.835229342606392,0.808649704839393,0.86180898037339
"Sanquianga",8,"Rarefaction",0,92.0040404040404,84.6029226975164,99.4051581105644,0.850952144394767,0.825965432214168,0.875938856575367
"Sanquianga",9,"Rarefaction",0,96.55,88.581069524953,104.518930475047,0.864033780427223,0.840360257440151,0.887707303414295
"Sanquianga",10,"Rarefaction",0,100.69696969697,92.1987434626137,109.195195931326,0.875310481867859,0.852595632718949,0.898025331016769
"Sanquianga",11,"Rarefaction",0,104.5,95.5053393001504,113.49466069985,0.885245901639344,0.863063253296124,0.907428549982564
"Sanquianga",12,"Observed",0,108,98.5346000985052,117.465399901495,0.894389654496767,0.872365408208233,0.916413900785301
"Sanquianga",13,"Extrapolation",0,111.221115537849,101.30342308375,121.138807991947,0.902804821469136,0.880757256796842,0.92485238614143
"Sanquianga",14,"Extrapolation",0,114.18556848304,103.827617066054,124.543519900026,0.910549457208647,0.888424064291763,0.932674850125531
"Sanquianga",15,"Extrapolation",0,116.913810038176,106.122573183466,127.705046892887,0.917676990498795,0.89549581953489,0.9398581614627
"Sanquianga",16,"Extrapolation",0,119.424661827963,108.203505397823,130.645818258103,0.924236592849488,0.902063237693387,0.94640994800559
"Sanquianga",17,"Extrapolation",0,121.735445746054,110.085468408051,133.385423084056,0.930273517722039,0.908190604198862,0.952356431245216
"Sanquianga",18,"Extrapolation",0,123.862103455531,111.783268432837,135.940938478226,0.935829412724267,0.913924836499014,0.957733988949521
"Sanquianga",19,"Extrapolation",0,125.819306367441,113.311333364396,138.327279370486,0.940942606929505,0.919301506260534,0.962583707598475
"Sanquianga",20,"Extrapolation",0,127.620556856091,114.683580380465,140.557533331718,0.945648375301656,0.924348735128534,0.966948015474778
"Sanquianga",21,"Extrapolation",0,129.278281409391,115.913301442662,142.64326137612,0.949979182050528,0.929089688836486,0.970868675264569
"Sanquianga",22,"Extrapolation",0,130.80391635685,117.013075852969,144.594756860731,0.953964904596303,0.933544170604694,0.974385638587912
"Sanquianga",23,"Extrapolation",0,132.207986766662,117.994712023136,146.421261510189,0.957633039688231,0.937729640925593,0.977536438450868
"Sanquianga",24,"Extrapolation",0,133.500179056171,118.869216537511,148.131141574831,0.961008893099527,0.94166187244234,0.980355913756714
"Sanquianga",25,"Extrapolation",0,134.689407816636,119.64678653811,149.732029095162,0.964115754207134,0.945355372148462,0.982876136265806
"Sanquianga",26,"Extrapolation",0,135.783877313318,120.336820732573,151.230933894064,0.966975056660749,0.948823654751831,0.985126458569667
"Sanquianga",27,"Extrapolation",0,136.791138085165,120.947944396298,152.634331774033,0.969606526249534,0.952079420604458,0.987133631894611
"Sanquianga",28,"Extrapolation",0,137.718139034555,121.488044236247,153.948233832862,0.972028316986623,0.955134672405071,0.988921961568175
"Sanquianga",29,"Extrapolation",0,138.571275366463,121.964309658087,155.178241074839,0.974257136350239,0.958000792705891,0.990513479994586
"Sanquianga",30,"Extrapolation",0,139.35643270778,122.383277679696,156.329587735865,0.976308360545439,0.960688596473116,0.991928124617762
"Sanquianga",31,"Extrapolation",0,140.079027711144,122.75087938071,157.407176041579,0.978196140581659,0.963208367937636,0.993183913225682
"Sanquianga",32,"Extrapolation",0,140.744045423404,123.072486332728,158.415604514079,0.979933499897861,0.965569887719725,0.994297112075998
"Sanquianga",33,"Extrapolation",0,141.356073676519,123.352955908563,159.359191444475,0.981532424208789,0.967782454087878,0.9952823943297
"Sanquianga",34,"Extrapolation",0,141.919334738151,123.596674726622,160.24199474968,0.983003944192152,0.96985490081958,0.996152987564724
"Sanquianga",35,"Extrapolation",0,142.43771444029,123.807599760389,161.067829120192,0.9843582115872,0.971795613216678,0.996920809957722
"Sanquianga",36,"Extrapolation",0,142.914788986881,123.989296847234,161.840281126528,0.985604569229654,0.973612543226882,0.997596595232426
"Sanquianga",37,"Extrapolation",0,143.353849625376,124.144976479423,162.56272277133,0.986751615506176,0.975313224229565,0.998190006782786
"Sanquianga",38,"Extrapolation",0,143.757925352438,124.277526865539,163.238323839337,0.987807263673014,0.9769047857887,0.998709741557329
"Sanquianga",39,"Extrapolation",0,144.129803810411,124.389544322802,163.87006329802,0.988778796448073,0.978393968512521,0.999163624383624
"Sanquianga",40,"Extrapolation",0,144.472050518745,124.483361108435,164.460739929054,0.989672916253007,0.979787139057557,0.999558693448457
"Sanquianga",41,"Extrapolation",0,144.787026573028,124.561070827713,165.012982318343,0.990495791451971,0.981090305253528,0.999901277650414
"Sanquianga",42,"Extrapolation",0,145.076904933743,124.624551572675,165.529258294811,0.991253098905997,0.982309131291395,1
"Sanquianga",43,"Extrapolation",0,145.34368541711,124.675486952586,166.011883881634,0.991950063136595,0.983448952900253,1
"Sanquianga",44,"Extrapolation",0,145.589208491444,124.715385177797,166.463031805091,0.992591492368739,0.984514792433448,1
"Sanquianga",45,"Extrapolation",0,145.815167974197,124.745596354921,166.884739593473,0.993181811701907,0.985511373786047,1
"Sanquianga",46,"Extrapolation",0,146.023122717289,124.76732814465,167.278917289928,0.99372509363801,0.986443137071691,1
"Sanquianga",47,"Extrapolation",0,146.21450736133,124.781659925212,167.647354797448,0.994225086176814,0.987314252995065,1
"Sanquianga",48,"Extrapolation",0,146.390642232937,124.789555595256,167.991728870619,0.994685238672685,0.98812863686537,1
"Sanquianga",49,"Extrapolation",0,146.55274245342,124.791875140303,168.313609766537,0.995108725631037,0.988889962205614,1
"Sanquianga",50,"Extrapolation",0,146.701926321674,124.789385077292,168.614467566056,0.995498468608644,0.989601673921574,1
"Sanquianga",51,"Extrapolation",0,146.83922302911,124.782767882342,168.895678175878,0.995857156368911,0.990267001002784,1
"Sanquianga",52,"Extrapolation",0,146.965579759858,124.772630497931,169.158529021785,0.996187263431149,0.99088896873554,1
"Sanquianga",53,"Extrapolation",0,147.081868225208,124.759512007176,169.40422444324,0.996491067141815,0.99147041041481,1
"Sanquianga",54,"Extrapolation",0,147.188890677383,124.743890555043,169.633890799723,0.996770663385495,0.992013978547883,1
"Sanquianga",55,"Extrapolation",0,147.287385444125,124.726189588966,169.848581299284,0.997027981044021,0.992522155547755,1
"Sanquianga",56,"Extrapolation",0,147.378032022283,124.706783484627,170.049280559938,0.997264795303462,0.99299726391866,1
"Sanquianga",57,"Extrapolation",0,147.461455765527,124.686002616442,170.236908914612,0.997482739900795,0.993441475939773,1
"Sanquianga",58,"Extrapolation",0,147.538232198553,124.664137926667,170.412326470439,0.997683318394756,0.993856822856183,1
"Sanquianga",59,"Extrapolation",0,147.608890987513,124.64144504187,170.576336933155,0.9978679145386,0.994245203588666,1
"Sanquianga",60,"Extrapolation",0,147.673919594085,124.618147980846,170.729691207325,0.998037801826361,0.994608392975714,1
"Sanquianga",61,"Extrapolation",0,147.733766638381,124.594442493779,170.873090782984,0.998194152278444,0.994948049562813,1
"Sanquianga",62,"Extrapolation",0,147.788844993889,124.570499068651,171.007190919126,0.998338044527173,0.99526572295506,1
"Sanquianga",63,"Extrapolation",0,147.83953463581,124.54646563735,171.13260363427,0.998470471258076,0.995562860749999,1
"Sanquianga",64,"Extrapolation",0,147.886185262439,124.52247001083,171.249900514047,0.998592346058229,0.995840815068079,1
"Sanquianga",65,"Extrapolation",0,147.929118707663,124.498622069794,171.359615345532,0.998704509718928,0.996100848698403,1
"Sanquianga",66,"Extrapolation",0,147.968631161235,124.475015734811,171.46224658766,0.998807736036145,0.996344140877509,1
"Sanquianga",67,"Extrapolation",0,148.004995212133,124.451730737456,171.55825968681,0.998902737148803,0.996571792718863,1
"Sanquianga",68,"Extrapolation",0,148.038461729094,124.428834211938,171.648089246251,0.998990168451687,0.996784832310473,1
"Sanquianga",69,"Extrapolation",0,148.069261591318,124.40638212483,171.732141057806,0.999070633116891,0.996984219497761,1
"Sanquianga",70,"Extrapolation",0,148.097607281253,124.384420558762,171.810794003743,0.999144686254988,0.997170850368363,1
"Sanquianga",71,"Extrapolation",0,148.123694350476,124.362986864418,171.884401836533,0.99921283874463,0.997345561455072,1
"Sanquianga",72,"Extrapolation",0,148.147702768765,124.342110693787,171.953294843742,0.99927556075701,0.997509133672593,1
"Sanquianga",73,"Extrapolation",0,148.169798165676,124.321814926344,172.017781405007,0.999333284999479,0.997662296003199,1
"Sanquianga",74,"Extrapolation",0,148.190132973192,124.302116498723,172.07814944766,0.999386409700716,0.997805728945793,1
"Sanquianga",75,"Extrapolation",0,148.20884747732,124.283027147401,172.134667807239,0.999435301358029,0.997940067742251,1
"Sanquianga",76,"Extrapolation",0,148.2260707859,124.264554073002,172.187587498797,0.999480297265756,0.998065905394301,1
"Sanquianga",77,"Extrapolation",0,148.241921719294,124.246700533992,172.237142904596,0.99952170784219,0.998183795483578,1
"Sanquianga",78,"Extrapolation",0,148.256509630108,124.229466376767,172.283552883448,0.999559818771099,0.998294254806867,1
"Sanquianga",79,"Extrapolation",0,148.269935157589,124.212848508487,172.327021806691,0.999594892972605,0.998397765837935,1
"Sanquianga",80,"Extrapolation",0,148.282290921925,124.196841318362,172.367740525487,0.999627172417019,0.998494779026759,1
"Sanquianga",81,"Extrapolation",0,148.293662163205,124.18143705256,172.405887273851,0.999656879794149,0.998585714946382,1
"Sanquianga",82,"Extrapolation",0,148.304127329484,124.1666261474,172.441628511568,0.999684220049595,0.998670966297054,1
"Sanquianga",83,"Extrapolation",0,148.313758617971,124.152397525039,172.475119710903,0.999709381798632,0.998750899776768,1
"Sanquianga",84,"Extrapolation",0,148.322622473113,124.138738855457,172.506506090769,0.999732538627426,0.998825857826805,1
"Sanquianga",85,"Extrapolation",0,148.330780044976,124.125636788159,172.535923301794,0.999753850290579,0.998896160260355,1
"Sanquianga",86,"Extrapolation",0,148.338287611114,124.113077156717,172.563498065511,0.999773463813242,0.998962105781856,1
"Sanquianga",87,"Extrapolation",0,148.34519696481,124.10104515891,172.58934877071,0.999791514505414,0.999023973404172,1
"Sanquianga",88,"Extrapolation",0,148.351555772395,124.089525515014,172.613586029776,0.999808126895421,0.999082023770359,1
"Sanquianga",89,"Extrapolation",0,148.357407902084,124.078502606504,172.636313197665,0.999823415589013,0.999136500386302,1
"Sanquianga",90,"Extrapolation",0,148.36279372662,124.067960597214,172.657626856025,0.999837486060008,0.999187630770149,1
"Sanquianga",91,"Extrapolation",0,148.367750401789,124.05788353882,172.677617264759,0.999850435377936,0.999235627524075,1
"Sanquianga",92,"Extrapolation",0,148.372312122762,124.048255462296,172.696368783228,0.999862352877702,0.999280689333563,1
"Sanquianga",93,"Extrapolation",0,148.376510359992,124.039060456862,172.713960263123,0.999873320775893,0.999323001899062,1
"Sanquianga",94,"Extrapolation",0,148.380374076328,124.030282737763,172.730465414892,0.999883414737973,0.999362738804572,1
"Sanquianga",95,"Extrapolation",0,148.383929926819,124.021906704112,172.745953149527,0.999892704400286,0.99940006232739,1
"Sanquianga",96,"Extrapolation",0,148.387202442611,124.013916987883,172.760487897338,0.999901253850462,0.999435124193003,1
"Sanquianga",97,"Extrapolation",0,148.390214200172,124.006298495053,172.774129905291,0.999909122069549,0.999468066278833,1
"Sanquianga",98,"Extrapolation",0,148.39298597705,123.999036439763,172.786935514337,0.999916363338908,0.999499021270298,1
"Sanquianga",99,"Extrapolation",0,148.395536895214,123.992116372328,172.7989574181,0.999923027614692,0.999528113272433,1
