Pressure,Depth,Temperature,Conductivity,Specific_conductance,Salinity,Sound_velocity,Density,Latitud,Longitud,Fecha,Hora,Estacion,Marea
98.55,98.47124058,18.80267906,46648.95312,53248.97258,34.91584125,1519.652285,1025.439761,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
98.85,98.77037868,18.76904678,46623.65625,53260.99113,34.92290892,1519.568988,1025.455031,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
99.15,99.06951233,18.74256516,46608.89062,53276.35732,34.93278466,1519.509275,1025.470621,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
99.45,99.3686437,18.70999908,46561.98437,53262.39459,34.92078433,1519.407342,1025.471033,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
99.75,99.66777305,18.66925812,46524.60156,53269.28321,34.92369756,1519.298707,1025.484905,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
100.05,99.96689461,18.62558746,46523.625,53321.48827,34.95976747,1519.219022,1025.524849,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
100.35,100.2660096,18.6103096,46509.20312,53323.63328,34.96045906,1519.180873,1025.530557,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
100.65,100.5651226,18.59132004,46493.41406,53328.75217,34.96314625,1519.134285,1025.538728,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
100.95,100.8642332,18.57619095,46483.39453,53335.77066,34.96742424,1519.100581,1025.547136,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
101.25,101.1633406,18.57234383,46497.75391,53356.95744,34.98269481,1519.111776,1025.561095,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
101.55,101.4624468,18.56736141,46480.88033,53343.69448,34.97257754,1519.090979,1025.555933,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
101.85,101.761552,18.56523532,46495.30569,53362.85383,34.98644517,1519.105539,1025.568385,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
102.15,102.0606551,18.57558312,46511.72975,53369.02735,34.99140331,1519.145925,1025.570874,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
102.45,102.3597579,18.56738348,46497.65305,53362.91663,34.98637988,1519.121631,1025.570419,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
102.75,102.6588602,18.55261665,46482.53894,53363.65817,34.9860576,1519.083741,1025.575217,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
103.05,102.957961,18.54065803,46471.72203,53365.8931,34.98697595,1519.055328,1025.580253,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
103.2097689,103.1172501,18.53453445,46473.36719,53375.28903,34.99351035,1519.04774,1025.587494,2.7840135,-78.4007166,02/05/2021,  8:22:30,G01,Alta
